Pyranine in 1-butanol 4th run 5 more minutes of sonication,,Pyranine in 1-butanol 5th run 10 more min sonication (20 total),,Pyranine in 1-butanol 5th rerun 10 more min sonication (20 total),,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
536.6012573,0.02778873406,536.6012573,0.03707322106,536.6012573,0.02868867479,
536.4127197,0.02771743014,536.4127197,0.03714534268,536.4127197,0.0285493508,
536.1865234,0.02772446722,536.1865234,0.03723485023,536.1865234,0.02855496295,
535.9980469,0.02770564891,535.9980469,0.03726863861,535.9980469,0.02857909724,
535.8095093,0.02763339318,535.8095093,0.03717362508,535.8095093,0.02851791866,
535.583252,0.02753296308,535.583252,0.0369665809,535.583252,0.02844091319,
535.3947754,0.02757358924,535.3947754,0.03674360365,535.3947754,0.0284934286,
535.2061768,0.02754777297,535.2061768,0.03643512353,535.2061768,0.02844168805,
535.0176392,0.02767761797,535.0176392,0.03620299324,535.0176392,0.02849702165,
534.7913208,0.02760862187,534.7913208,0.03573575988,534.7913208,0.02839285322,
534.6027832,0.02765871957,534.6027832,0.03511915728,534.6027832,0.02842861414,
534.4141846,0.02758054063,534.4141846,0.03422157094,534.4141846,0.02834654041,
534.1879272,0.02765697986,534.1879272,0.03325057775,534.1879272,0.02836336754,
533.9993286,0.02760354616,533.9993286,0.03231925145,533.9993286,0.02836657315,
533.8106689,0.02760343626,533.8106689,0.0315265134,533.8106689,0.02840943448,
533.5843506,0.02753130719,533.5843506,0.03093920089,533.5843506,0.02837853879,
533.395752,0.02754429728,533.395752,0.03057257086,533.395752,0.02833916247,
533.2070923,0.02756581083,533.2070923,0.03036198393,533.2070923,0.02840669826,
532.9807739,0.02752060629,532.9807739,0.03007586859,532.9807739,0.0283655785,
532.7920532,0.02750281803,532.7920532,0.02985190786,532.7920532,0.02842308767,
532.6033936,0.0274664443,532.6033936,0.02965414152,532.6033936,0.02835477516,
532.4147339,0.02746095695,532.4147339,0.02960727736,532.4147339,0.02837618999,
532.1883545,0.02735910378,532.1883545,0.02960373089,532.1883545,0.02834568359,
531.9995728,0.02739229798,531.9995728,0.02972568013,531.9995728,0.0283388868,
531.8109741,0.02750659734,531.8109741,0.02986593731,531.8109741,0.02844135463,
531.5845337,0.02743793093,531.5845337,0.02993276902,531.5845337,0.02834529616,
531.395752,0.02745160833,531.395752,0.03001733497,531.395752,0.02837629989,
531.2070923,0.02738703229,531.2070923,0.02997756004,531.2070923,0.02835087851,
530.9805908,0.02743431926,530.9805908,0.03004285507,530.9805908,0.02837348171,
530.7918701,0.02736194432,530.7918701,0.03007531352,530.7918701,0.02843237296,
530.6031494,0.02736373618,530.6031494,0.02995720319,530.6031494,0.02835499495,
530.4143677,0.02738849446,530.4143677,0.02997650765,530.4143677,0.02837102301,
530.1879272,0.02738824487,530.1879272,0.02989186533,530.1879272,0.02826937102,
529.9990845,0.02744035795,529.9990845,0.029798951,529.9990845,0.02828125097,
529.8103027,0.02734843455,529.8103027,0.02964762971,529.8103027,0.02819870599,
529.5837402,0.02728406712,529.5837402,0.02964372188,529.5837402,0.02820417657,
529.3950195,0.02730664238,529.3950195,0.02972534858,529.3950195,0.02829796635,
529.2062378,0.02718804404,529.2062378,0.02978154086,529.2062378,0.02830423787,
529.017395,0.02722439542,529.017395,0.02988446131,529.017395,0.02844116278,
528.7908325,0.02716911212,528.7908325,0.029978754,528.7908325,0.02853732556,
528.6019287,0.02712201886,528.6019287,0.03010058589,528.6019287,0.02847761847,
528.4130859,0.02716721036,528.4130859,0.03010513633,528.4130859,0.02850244008,
528.1865234,0.02727042325,528.1865234,0.03012675047,528.1865234,0.02860995196,
527.9976807,0.02717958391,527.9976807,0.03004058078,527.9976807,0.02854661271,
527.8088379,0.02726027928,527.8088379,0.03015371971,527.8088379,0.02860174142,
527.5821533,0.02731323056,527.5821533,0.03020094708,527.5821533,0.02855720185,
527.3932495,0.0273572579,527.3932495,0.03031698614,527.3932495,0.02854885347,
527.2043457,0.0274115447,527.2043457,0.03051860817,527.2043457,0.02852941863,
527.0155029,0.02739761956,527.0155029,0.03061912209,527.0155029,0.02844986878,
526.7888184,0.02740776725,526.7888184,0.03090765327,526.7888184,0.02845384739,
526.5998535,0.02750703879,526.5998535,0.0311089661,526.5998535,0.02852922492,
526.4110107,0.02753053606,526.4110107,0.03129239753,526.4110107,0.02860552818,
526.1842041,0.02758462355,526.1842041,0.03150711209,526.1842041,0.02859339118,
525.9953613,0.02753878199,525.9953613,0.03161470219,525.9953613,0.02869539522,
525.8063354,0.0275118649,525.8063354,0.03151760623,525.8063354,0.02870460413,
525.5796509,0.02756035142,525.5796509,0.03144426644,525.5796509,0.02880710363,
525.390625,0.02755908109,525.390625,0.03124455176,525.390625,0.0288441442,
525.2017212,0.02751418017,525.2017212,0.03124343976,525.2017212,0.02886359207,
525.0127563,0.02753039822,525.0127563,0.03113858216,525.0127563,0.02882179245,
524.7859497,0.02756953612,524.7859497,0.03088808432,524.7859497,0.02887086757,
524.5969238,0.0275629703,524.5969238,0.03073746711,524.5969238,0.02884879149,
524.407959,0.02753050812,524.407959,0.0304629039,524.407959,0.02877584845,
524.1811523,0.02760851197,524.1811523,0.03031065688,524.1811523,0.02883426845,
523.9920654,0.02757455595,523.9920654,0.03010829911,523.9920654,0.02884212509,
523.8031006,0.02756399103,523.8031006,0.0299723465,523.8031006,0.02886646986,
523.6140137,0.02763987705,523.6140137,0.0298566483,523.6140137,0.02885869518,
523.387146,0.02767874859,523.387146,0.02973785065,523.387146,0.02886389568,
523.1981201,0.02778724395,523.1981201,0.02973330393,523.1981201,0.02896258794,
523.0090332,0.02765091136,523.0090332,0.02946366929,523.0090332,0.02884497494,
522.7821655,0.0278025046,522.7821655,0.02947272919,522.7821655,0.02891732007,
522.5930786,0.02776905708,522.5930786,0.02932091057,522.5930786,0.02890802361,
522.4039917,0.02774974145,522.4039917,0.0291719716,522.4039917,0.02883269079,
522.2149048,0.02791034058,522.2149048,0.02910605818,522.2149048,0.02890636399,
521.9879761,0.02789626271,521.9879761,0.02902795188,521.9879761,0.02881288528,
521.7988892,0.02785568871,521.7988892,0.02889131382,521.7988892,0.0287993867,
521.6096802,0.02785924822,521.6096802,0.02894875221,521.6096802,0.02876967937,
521.3828125,0.02795050666,521.3828125,0.02895652875,521.3828125,0.02877349779,
521.1936035,0.02799266391,521.1936035,0.02909977548,521.1936035,0.02883667499,
521.0045166,0.02803742141,521.0045166,0.02920178883,521.0045166,0.02895066142,
520.8153076,0.02806009166,520.8153076,0.02920763008,520.8153076,0.0287495181,
