pyranine in water, sample prepared on Jan-24th,,pyranine in 1-butanol, sample prepared on Jan-24th, 2nd run,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
549.9864502,0.001239894074,549.9864502,0.001237583696,
549.798645,0.0012165308,549.798645,0.001210041111,
549.6106567,0.001133523183,549.6106567,0.001123609021,
549.3852539,0.001156155253,549.3852539,0.001191143994,
549.1972656,0.001198723563,549.1972656,0.001158517203,
549.0093994,0.001218555495,549.0093994,0.001212792704,
548.7838745,0.001195089542,548.7838745,0.00113217358,
548.5959473,0.001221878221,548.5959473,0.001252329093,
548.407959,0.001285715844,548.407959,0.001192415948,
548.182373,0.001222786843,548.182373,0.001185822883,
547.9944458,0.001261467347,547.9944458,0.001146032941,
547.8065186,0.001257547294,547.8065186,0.001183253131,
547.6184692,0.001239219098,547.6184692,0.001172091928,
547.3929443,0.00127582415,547.3929443,0.001164175454,
547.204834,0.001396720647,547.204834,0.001280705095,
547.0169067,0.001297684852,547.0169067,0.001260039513,
546.7911987,0.001293478766,546.7911987,0.001217413344,
546.6032104,0.001313860412,546.6032104,0.001149121555,
546.4151611,0.001262142323,546.4151611,0.001179048209,
546.1895752,0.001318871509,546.1895752,0.001222605119,
546.0014648,0.001331152976,546.0014648,0.001243814128,
545.8134155,0.001394902822,545.8134155,0.001187639777,
545.5877686,0.001270631794,545.5877686,0.001197399688,
545.3996582,0.001266010571,545.3996582,0.001196335419,
545.2114868,0.001214687712,545.2114868,0.001181565924,
544.9858398,0.001182111097,544.9858398,0.001144553535,
544.7977295,0.001203266089,544.7977295,0.001172247692,
544.6096191,0.001198074548,544.6096191,0.001176841906,
544.3838501,0.001213571522,544.3838501,0.00118527771,
544.1957397,0.001234883908,544.1957397,0.001246799482,
544.0075684,0.00119277928,544.0075684,0.001198437996,
543.7818604,0.00115908822,543.7818604,0.001165499212,
543.5936279,0.00126510195,543.5936279,0.001219126629,
543.4054565,0.001252069487,543.4054565,0.001205835957,
543.2173462,0.001238518278,543.2173462,0.00121152075,
542.9915161,0.001163267065,542.9915161,0.001110814279,
542.8033447,0.001211390947,542.8033447,0.001162125031,
542.6150513,0.001232910901,542.6150513,0.00117632281,
542.3892212,0.001192961005,542.3892212,0.001154701808,
542.2009888,0.0012250453,542.2009888,0.00121152075,
542.0127563,0.001232235925,542.0127563,0.00122112548,
541.7868652,0.001206147484,541.7868652,0.001178321429,
541.5986938,0.001183279091,541.5986938,0.001126074465,
541.4104004,0.00118958659,541.4104004,0.001172688906,
541.1844482,0.001182111097,541.1844482,0.001170949894,
540.9962769,0.001216323115,540.9962769,0.001172611024,
540.8079224,0.001203967026,540.8079224,0.001193116768,
540.5820313,0.001178139704,540.5820313,0.001208847039,
540.3937378,0.001184083754,540.3937378,0.001213649404,
540.2053833,0.00113803905,540.2053833,0.001186990878,
540.0170898,0.001102146343,540.0170898,0.001115278108,
539.7910767,0.001218503574,539.7910767,0.001187302405,
539.6027832,0.00113341934,539.6027832,0.001109412871,
539.4143677,0.001206095563,539.4143677,0.001195089542,
539.1884155,0.001223176252,539.1884155,0.001255470328,
539,0.001135210157,539,0.001130538527,
538.8117065,0.001185148023,538.8117065,0.001223176252,
538.5855713,0.001198541839,538.5855713,0.001164824353,
538.3972168,0.001214713673,538.3972168,0.001212948468,
538.2088623,0.001267075073,538.2088623,0.001181903412,
537.9827271,0.001192805241,537.9827271,0.001150159747,
537.7943726,0.001268373104,537.7943726,0.001182993525,
537.605957,0.001234831987,537.605957,0.001204460161,
537.4174805,0.001240465208,537.4174805,0.001205809996,
537.1914063,0.001232936862,537.1914063,0.001232755138,
537.0029297,0.001196283498,537.0029297,0.001160593587,
536.8144531,0.001173727214,536.8144531,0.001168224495,
536.5883179,0.001205083216,536.5883179,0.001210222836,
536.3999023,0.00126510195,536.3999023,0.001173597411,
536.2114258,0.001273253933,536.2114258,0.001158828614,
535.9852295,0.001267204876,535.9852295,0.001248486922,
535.7966919,0.001231431263,535.7966919,0.001218166202,
535.6082153,0.001175440266,535.6082153,0.001182734035,
535.382019,0.001215180964,535.382019,0.001200592495,
535.1934814,0.001258170349,535.1934814,0.001191455522,
535.0049438,0.001208250062,535.0049438,0.001140011591,
534.8164063,0.001233949326,534.8164063,0.001197114121,
534.5900879,0.001214609831,534.5900879,0.001190988231,
534.4015503,0.001279744552,534.4015503,0.001156155253,
534.2130127,0.001219801605,534.2130127,0.001197321806,
533.9867554,0.001253705006,533.9867554,0.001172507182,
533.7981567,0.001238959492,533.7981567,0.001193506061,
533.6095581,0.001228809357,533.6095581,0.001170923933,
533.3832397,0.001244774554,533.3832397,0.001224837615,
533.1946411,0.001208717236,533.1946411,0.001204226515,
533.0060425,0.001142347464,533.0060425,0.001116316183,
532.8173828,0.001213779207,532.8173828,0.001199086895,
532.5910645,0.001229614019,532.5910645,0.001178035862,
532.4024048,0.001203629537,532.4024048,0.001161787543,
532.2137451,0.001186783193,532.2137451,0.001165940426,
531.9873657,0.001219412195,531.9873657,0.001130097313,
531.7987061,0.001244021812,531.7987061,0.001153196441,
531.6099854,0.001240413287,531.6099854,0.001169029158,
531.383606,0.001209807582,531.383606,0.001181617845,
531.1948853,0.0012435026,531.1948853,0.001133445301,
531.0062256,0.001224344363,531.0062256,0.001149121555,
530.8175049,0.00113557349,530.8175049,0.001094464678,
530.5910645,0.001267049112,530.5910645,0.001137338346,
530.4023438,0.001265880768,530.4023438,0.001171105658,
530.213623,0.001245475491,530.213623,0.001124647097,
529.9870605,0.001284028287,529.9870605,0.0011512239,
529.7984009,0.001266218373,529.7984009,0.001144242124,
529.6096191,0.00126961933,529.6096191,0.001143463538,
529.3830566,0.001252069487,529.3830566,0.001126930933,
529.1942749,0.001237947145,529.1942749,0.001119534369,
529.0054932,0.001190832467,529.0054932,0.001089066849,
528.8167725,0.001249109977,528.8167725,0.001114369836,
528.5901489,0.001200878061,528.5901489,0.001109880046,
528.4013672,0.001226109569,528.4013672,0.0011786588,
528.2125244,0.001226784545,528.2125244,0.001092881663,
527.9859009,0.001250200323,527.9859009,0.001138687949,
527.7970581,0.001197166042,527.7970581,0.00107596186,
527.6082764,0.001254639588,527.6082764,0.001095918007,
527.3815918,0.001218685298,527.3815918,0.001069396501,
527.192749,0.001281873439,527.192749,0.001193090808,
527.0039063,0.001288078493,527.0039063,0.001185926725,
526.8150635,0.001320948708,526.8150635,0.001159010339,
526.5883789,0.001351770014,526.5883789,0.001210560324,
526.3994751,0.001329309423,526.3994751,0.001209444134,
526.2105713,0.001302072662,526.2105713,0.001181617845,
525.9838867,0.001316690468,525.9838867,0.001191247837,
525.7949829,0.001287948689,525.7949829,0.001178996288,
525.6060181,0.001238855766,525.6060181,0.001198827405,
525.4170532,0.001257651136,525.4170532,0.001186653506,
525.1903687,0.00130513648,525.1903687,0.001176945749,
525.0013428,0.001302488148,525.0013428,0.001228549751,
524.812439,0.001273851027,524.812439,0.001138168853,
524.5856323,0.001254354022,524.5856323,0.001190988231,
524.3967285,0.001276447321,524.3967285,0.001145955059,
524.2077026,0.001268528868,524.2077026,0.001116160536,
523.980896,0.001247837907,523.980896,0.001146370429,
523.7918701,0.001247474458,523.7918701,0.001173882862,
523.6028442,0.001348680002,523.6028442,0.001209599897,
523.4138794,0.001254120376,523.4138794,0.001139233005,
523.1870117,0.001266140491,523.1870117,0.001193012926,
522.9979858,0.001262765494,522.9979858,0.001200748258,
522.809021,0.001301839016,522.809021,0.001203006599,
522.5820923,0.001302617951,522.5820923,0.001249888795,
522.3930664,0.0012543021,522.3930664,0.001146811643,
522.2040405,0.00126385584,522.2040405,0.001213415759,
522.0148926,0.001285378356,522.0148926,0.001229562215,
521.7880249,0.001245631254,521.7880249,0.001209080685,
521.598877,0.001205316745,521.598877,0.001170326956,
521.40979,0.001303241123,521.40979,0.001212299569,
521.1828613,0.001299917698,521.1828613,0.001256171265,
520.9937744,0.001280237804,520.9937744,0.001230263035,
520.8045654,0.001284573576,520.8045654,0.001139440574,
520.6154785,0.001298671472,520.6154785,0.001236752956,
520.3885498,0.001228445908,520.3885498,0.001247837907,
520.1993408,0.001259598183,520.1993408,0.001251835842,
520.0101929,0.00122112548,520.0101929,0.001231872593,
519.7832031,0.001275227056,519.7832031,0.001223877072,
519.5939941,0.001273409696,519.5939941,0.001286209212,
519.4048462,0.001238025026,519.4048462,0.001234728144,
519.2156372,0.001211546711,519.2156372,0.001211235183,
518.9886475,0.001227355562,518.9886475,0.001238466357,
518.7993774,0.001252536778,518.7993774,0.001297425246,
518.6102295,0.001238362514,518.6102295,0.001184680732,
