Pyranine in acetonitrile 1st run,,Pyranine in acetonitrile 2nd run 5 min sonication,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
550.0012207,0.01420383435,550.0012207,0.03123267367,
549.8133545,0.01430443954,549.8133545,0.03158185259,
549.5878296,0.01435786858,549.5878296,0.03176256269,
549.3999634,0.01454434451,549.3999634,0.03167837858,
549.2119751,0.0148323793,549.2119751,0.03131752089,
548.9864502,0.01499269158,548.9864502,0.03162959591,
548.7984619,0.01513531897,548.7984619,0.03173663467,
548.6104736,0.01545209717,548.6104736,0.0310589131,
548.3849487,0.01572774351,548.3849487,0.03094356507,
548.1968994,0.01608070731,548.1968994,0.03068029135,
548.0089722,0.01618212461,548.0089722,0.03097539581,
547.7833862,0.01640201919,547.7833862,0.03124254942,
547.5953369,0.01635516621,547.5953369,0.03176921606,
547.4073486,0.01625835709,547.4073486,0.0314220041,
547.1817017,0.01609583013,547.1817017,0.03066987358,
546.9936523,0.01605169661,546.9936523,0.0305685699,
546.805603,0.01587386057,546.805603,0.03081274219,
546.6175537,0.01579922624,546.6175537,0.03098734841,
546.3918457,0.01556522679,546.3918457,0.03131918982,
546.2037964,0.01538818143,546.2037964,0.0314793624,
546.015686,0.0151912095,546.015686,0.03133268282,
545.789978,0.01508024056,545.789978,0.03131376579,
545.6018677,0.01500539295,545.6018677,0.0315133743,
545.4138184,0.01490923297,545.4138184,0.03126104549,
545.1880493,0.01494269539,545.1880493,0.03068262339,
544.999939,0.01485110261,544.999939,0.03032736853,
544.8118286,0.01491092052,544.8118286,0.03115421161,
544.5860596,0.01481317449,544.5860596,0.03136635199,
544.3978271,0.01481839735,544.3978271,0.03122521937,
544.2097168,0.01480353251,544.2097168,0.03076525219,
543.9838867,0.01478853356,543.9838867,0.03113438189,
543.7957764,0.01471258514,543.7957764,0.03165888786,
543.607605,0.01460026577,543.607605,0.03172691539,
543.3817139,0.01452386845,543.3817139,0.03210491687,
543.1934814,0.0146163553,543.1934814,0.03217044845,
543.0053101,0.01467456203,543.0053101,0.03229075298,
542.8171387,0.01473044604,542.8171387,0.03160843626,
542.5911865,0.01480133552,542.5911865,0.0311209783,
542.4029541,0.01492967457,542.4029541,0.03112061694,
542.2147217,0.01498492155,542.2147217,0.03094798513,
