Pyranine in Acetonitrile,,
Wavelength (nm),Abs,
510.2010803,0.04113570973,
510.0115356,0.0393489413,
509.7840271,0.0407323949,
509.5944519,0.04581592232,
509.4048462,0.04234562069,
509.2152405,0.04485272244,
508.9876709,0.04536786303,
508.7980957,0.05147286132,
508.60849,0.05006092414,
508.3808899,0.04686461762,
508.1912842,0.05334725231,
508.0015869,0.04713154212,
507.8119507,0.04091885686,
507.5843506,0.03974632174,
507.3946533,0.05156379566,
507.2049866,0.04945397377,
507.0152588,0.04464511201,
506.7876892,0.04475399852,
506.5979004,0.04279528558,
506.4082642,0.04674701393,
506.1805725,0.04578571767,
505.9908752,0.04674153402,
505.8010864,0.04852575064,
505.6113281,0.0468159467,
505.3836365,0.04548719153,
505.1938782,0.04766710103,
505.0041504,0.04436078668,
504.8143616,0.04669356719,
504.5865479,0.0486026071,
504.3968201,0.04552792385,
504.2070007,0.0421493873,
503.9792175,0.04446954653,
503.7894287,0.03770745546,
503.5995789,0.04519858211,
503.409729,0.04822148755,
503.1818848,0.04513137043,
502.9920959,0.04666310176,
502.8021545,0.04285913706,
502.6123657,0.05269933119,
502.384491,0.04946444556,
502.1946411,0.04849857092,
502.0046997,0.04025128856,
501.8148193,0.03974518925,
501.5869141,0.04578712955,
501.3970337,0.04367328435,
501.2071533,0.0439779833,
500.9791565,0.04629551619,
500.7892151,0.05190474167,
500.5993347,0.04465713352,
500.4093323,0.05041272938,
500.1813965,0.04542212188,
499.9914551,0.04748759419,
499.8014221,0.04504047707,
499.6114807,0.04323517904,
499.3834534,0.04813272506,
499.193512,0.04694686458,
499.003418,0.04487608746,
498.813446,0.04577099159,
498.5853882,0.04732536525,
498.3953552,0.04702044278,
498.2053223,0.04377797619,
498.0152283,0.04592654109,
497.7872009,0.04176830128,
497.5971069,0.04290027916,
497.407074,0.05340752006,
497.1789856,0.04844230786,
496.9888611,0.04532050714,
496.7987671,0.0425161086,
496.6087036,0.04750275612,
496.3805542,0.04331170768,
496.1904907,0.04353015497,
496.0003052,0.03944179788,
495.8101807,0.04711204022,
495.5819702,0.04258100316,
495.3918457,0.04491891712,
495.2016602,0.04315108433,
495.0115356,0.04167013243,
494.7832642,0.04673608765,
494.5931091,0.04878477752,
494.4029541,0.04657433927,
494.2127075,0.05221682414,
493.9844666,0.04310625792,
493.7943115,0.04156361148,
493.6040649,0.04552605748,
493.4138489,0.04790446162,
493.1855164,0.04581606761,
492.9952698,0.04624083266,
492.8051147,0.04569704831,
492.6147766,0.04985426366,
492.3865051,0.03984893858,
492.196167,0.04360859841,
492.0058899,0.0421435684,
491.7775269,0.04473945126,
491.5872803,0.04655520618,
491.3969116,0.05103517324,
491.2066345,0.04517591745,
490.978241,0.04644145817,
490.7878723,0.04392450675,
490.5975647,0.04782174528,
490.4072266,0.03888522089,
490.1788025,0.04841585457,
489.9884644,0.04574470222,
489.7980652,0.04248162359,
489.607666,0.04729318246,
489.3792114,0.04951062799,
489.1888428,0.05252401531,
488.9984436,0.05000504106,
488.8079834,0.05093785748,
488.5795593,0.04632716626,
488.3890991,0.04998008907,
488.1986694,0.0437691845,
488.0081787,0.04477468878,
487.7797241,0.0447232388,
487.5892334,0.04134993255,
487.3987732,0.05116390437,
487.2083435,0.05118767172,
486.9797363,0.04748309031,
486.7892151,0.05120380595,
486.5987854,0.04539231956,
486.4082642,0.04639922827,
486.179657,0.049127087,
485.9891357,0.04631362855,
485.7986145,0.05150398612,
485.6080933,0.04994529858,
485.379425,0.04820338264,
485.1889038,0.05268448591,
484.998291,0.05310994387,
484.8077698,0.04966711625,
484.5790405,0.05000059679,
484.3885193,0.04885898903,
484.1979065,0.04768327996,
484.0072937,0.05099106953,
483.7786255,0.05087286606,
483.5879517,0.05175744742,
483.3973999,0.04611090198,
483.2067871,0.04088068753,
482.9779663,0.04741064459,
482.787384,0.05330200493,
482.5967102,0.05025736615,
482.4060669,0.04571390152,
482.1772461,0.04472802952,
481.9865723,0.04875821993,
481.7959595,0.04534786195,
481.6051941,0.04624840617,
481.4145203,0.04868869111,
481.1856689,0.04139156267,
480.9949951,0.04125980288,
480.8042297,0.04359468818,
480.6135254,0.04225796461,
480.3846741,0.04643307626,
480.1939087,0.04323835298,
480.0032349,0.04775683954,
479.812439,0.05488884449,
479.5835571,0.04578569159,
479.3927612,0.04538705945,
479.2019958,0.03903960064,
479.0111694,0.04300698638,
478.7822571,0.04456786066,
478.5914612,0.04971706867,
478.4006958,0.04347947985,
478.2097778,0.04432288557,
477.9808655,0.04578028247,
477.7900085,0.04680317268,
477.5992126,0.04041766003,
477.4083862,0.04518749192,
477.1793518,0.04215632007,
476.9884949,0.03786923736,
476.7975769,0.04620098323,
476.6067505,0.04207294807,
476.377655,0.04365682602,
476.1867981,0.04314805567,
475.9958801,0.04206282645,
475.8049927,0.04461117461,
475.6140747,0.0414429903,
475.3849792,0.04519794881,
475.1940002,0.05049524456,
475.0031433,0.04578534514,
474.8121948,0.04310931638,
474.5830383,0.03890277445,
