Pyranine in Acetonitrile,,Pyranine in Acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
426.6600037,49.95714951,426.6600037,478.0569763,
426.8099976,49.99450302,426.8099976,476.1827698,
426.9599915,50.08587265,426.9599915,475.5192871,
427.269989,49.55831528,427.269989,472.2421265,
427.4200134,49.13190079,427.4200134,471.2158508,
427.5700073,49.21035767,427.5700073,466.9898987,
427.7200012,49.11788177,427.7200012,464.8628845,
428.0299988,48.39396667,428.0299988,459.4488831,
428.1799927,47.94617844,428.1799927,459.2913208,
428.3299866,48.17682266,428.3299866,458.4223938,
428.6300049,47.45709991,428.6300049,454.026825,
428.7799988,47.48627853,428.7799988,449.736908,
428.9299927,47.30915833,428.9299927,447.6123657,
429.2399902,45.45603943,429.2399902,441.9670105,
429.3900146,45.61740494,429.3900146,438.1528931,
429.5400085,46.09667587,429.5400085,437.6062622,
429.8399963,45.0334549,429.8399963,433.9725342,
430,45.42367172,430,429.0527039,
430.1499939,44.43434906,430.1499939,424.5419312,
430.4500122,43.90814972,430.4500122,417.780365,
430.6000061,43.95248413,430.6000061,414.9840698,
430.75,42.52807236,430.75,411.646698,
431.0599976,42.20278931,431.0599976,409.0917358,
431.2099915,42.49861908,431.2099915,403.408905,
431.3599854,42.09175873,431.3599854,399.5885925,
431.6600037,41.06275177,431.6600037,390.4471436,
431.8099976,40.49097061,431.8099976,388.9795532,
431.9599915,40.26446152,431.9599915,385.6675415,
432.269989,40.45377731,432.269989,380.7642822,
432.4200134,39.39863205,432.4200134,376.5397339,
432.5700073,39.13516617,432.5700073,373.079895,
432.7200012,38.55989456,432.7200012,369.0707703,
433.0299988,38.3218956,433.0299988,362.1156311,
433.1799927,38.1771965,433.1799927,359.2590942,
433.3299866,38.10937881,433.3299866,358.5152893,
433.6300049,37.45051193,433.6300049,352.9703064,
433.7799988,36.81307983,433.7799988,349.4925232,
433.9299927,36.23323441,433.9299927,344.352417,
434.2399902,35.69772339,434.2399902,338.250885,
434.3900146,35.43742371,434.3900146,335.9228821,
434.5400085,34.57012177,434.5400085,333.7044983,
434.8399963,34.35437012,434.8399963,326.087616,
435,33.84615326,435,325.47995,
435.1499939,33.12525177,435.1499939,317.1312256,
435.4500122,32.68374252,435.4500122,311.8153381,
435.6000061,32.33978653,435.6000061,312.0923157,
435.75,32.16887283,435.75,306.3592529,
436.0599976,31.55078316,436.0599976,302.3832397,
436.2099915,31.15434647,436.2099915,297.0773621,
436.3599854,30.85728645,436.3599854,294.0552979,
436.6600037,30.26745796,436.6600037,289.7846375,
436.8099976,30.21380615,436.8099976,287.4268188,
436.9599915,29.76047897,436.9599915,284.6621704,
437.269989,29.68198776,437.269989,278.4723511,
437.4200134,29.15484619,437.4200134,276.4008789,
437.5700073,28.7379818,437.5700073,272.9811096,
437.7200012,28.53602028,437.7200012,271.1607666,
438.0299988,27.79392624,438.0299988,265.8669739,
438.1799927,27.5727253,438.1799927,264.2867432,
438.3299866,27.25867462,438.3299866,262.9572449,
438.6300049,27.48529625,438.6300049,258.5212708,
438.7799988,26.61211205,438.7799988,255.5757751,
438.9299927,26.48052597,438.9299927,254.9613953,
439.2399902,25.97767067,439.2399902,251.8285828,
439.3900146,26.4257164,439.3900146,249.153717,
439.5400085,26.05246925,439.5400085,245.0086975,
439.8399963,25.16844177,439.8399963,241.9466705,
440,25.35911751,440,238.7231598,
440.1400146,25.01597786,440.1400146,237.2402802,
440.4400024,24.32557869,440.4400024,233.3698425,
440.5899963,24.47275543,440.5899963,231.5305786,
440.7399902,24.38755417,440.7399902,231.2627411,
441.0400085,23.97819328,441.0400085,227.7823639,
441.1900024,23.56046295,441.1900024,225.1301117,
441.3399963,23.6194725,441.3399963,223.3102875,
441.6400146,23.06331062,441.6400146,220.8708191,
441.7900085,23.35430336,441.7900085,221.2947845,
441.9400024,22.93822098,441.9400024,218.8758087,
442.230011,22.5412674,442.230011,215.5992432,
442.3800049,22.54984665,442.3800049,213.3950806,
442.5299988,22.06117821,442.5299988,212.7646179,
442.8299866,22.0580349,442.8299866,210.4878998,
442.980011,21.95185471,442.980011,210.0159302,
443.1300049,21.6733284,443.1300049,209.3445129,
443.4299927,22.0609684,443.4299927,206.5606689,
443.5799866,21.17783737,443.5799866,204.7035522,
443.730011,21.2204628,443.730011,202.8379974,
444.019989,21.0274334,444.019989,201.3938751,
444.1700134,20.63298988,444.1700134,200.3264618,
444.3200073,20.90528488,444.3200073,198.8970947,
444.6199951,20.23487854,444.6199951,196.2127991,
444.769989,20.24061584,444.769989,195.631958,
445.0700073,20.15634346,445.0700073,194.2397614,
445.2200012,20.19360733,445.2200012,191.9676361,
445.3699951,20.15876961,445.3699951,192.6085815,
445.6700134,19.46576691,445.6700134,189.3556519,
445.8200073,19.6054554,445.8200073,187.3901215,
445.9700012,19.4227047,445.9700012,186.6057892,
446.2600098,18.96304512,446.2600098,184.3565979,
446.4100037,19.61063194,446.4100037,184.499649,
446.5599976,19.2881279,446.5599976,184.270462,
446.7099915,19.31409264,446.7099915,184.0344543,
447.0100098,19.15247345,447.0100098,181.0643005,
447.1600037,18.80823708,447.1600037,179.2960205,
447.4599915,18.38415527,447.4599915,178.5046997,
447.6099854,18.77958679,447.6099854,177.2639465,
447.7600098,18.78017235,447.7600098,177.0167542,
448.0499878,18.358881,448.0499878,175.5126495,
448.2000122,18.31397438,448.2000122,174.6555786,
448.3500061,18.21078873,448.3500061,172.8681335,
448.6499939,17.86060333,448.6499939,171.6230011,
448.7999878,17.82653046,448.7999878,171.161438,
448.9500122,17.71624184,448.9500122,170.510437,
449.25,17.14659309,449.25,170.0428009,
449.3999939,17.37725067,449.3999939,168.6712646,
449.5499878,17.32271194,449.5499878,166.6819153,
449.8500061,17.27438354,449.8500061,164.9772797,
450,17.2683754,450,164.2073364,
450.1499939,17.25550842,450.1499939,163.8905182,
450.4500122,16.95154381,450.4500122,162.230896,
450.6000061,16.72547531,450.6000061,161.1678772,
450.75,16.70727348,450.75,160.1182709,
451.0599976,16.77310562,451.0599976,158.146698,
451.2099915,16.459198,451.2099915,158.8361206,
451.3599854,16.44802666,451.3599854,156.7505646,
451.6600037,16.38653946,451.6600037,153.638092,
451.8099976,16.29029655,451.8099976,154.3487854,
451.9599915,15.96512985,451.9599915,153.1776733,
452.269989,16.1758213,452.269989,152.1921997,
452.4200134,15.85433483,452.4200134,151.3547974,
452.5700073,15.80106449,452.5700073,149.7763214,
452.7200012,15.64547062,452.7200012,149.9072418,
453.0299988,15.51632595,453.0299988,147.8462372,
453.1799927,15.16182137,453.1799927,145.5337524,
453.3299866,15.39449596,453.3299866,145.0547791,
453.6300049,15.26944733,453.6300049,144.1724396,
453.7799988,14.93456459,453.7799988,143.4546051,
453.9299927,14.77867317,453.9299927,142.8084106,
454.2399902,14.84648705,454.2399902,140.5171204,
454.3900146,14.45226097,454.3900146,139.5505219,
454.5400085,14.45194244,454.5400085,137.1754761,
454.8399963,14.45129871,454.8399963,136.3730316,
455,14.22154713,455,134.1846771,
455.1499939,14.07384396,455.1499939,135.2607574,
455.4500122,13.88163471,455.4500122,132.8661041,
455.6000061,13.99320412,455.6000061,130.4925842,
455.75,13.53490448,455.75,130.3930054,
456.0599976,13.29624557,456.0599976,129.6483765,
456.2099915,13.28700066,456.2099915,128.7417908,
456.3599854,13.54939461,456.3599854,127.5110092,
456.6600037,13.10808277,456.6600037,125.6544876,
456.8099976,12.73868847,456.8099976,123.8056717,
456.9599915,12.79082298,456.9599915,122.3260117,
457.269989,13.18310261,457.269989,121.102417,
457.4200134,12.94913578,457.4200134,121.3857651,
457.5700073,12.6384697,457.5700073,119.6615982,
457.7200012,12.55499172,457.7200012,118.8864212,
458.0299988,12.37777615,458.0299988,117.1667709,
458.1799927,12.38202381,458.1799927,116.1931534,
458.3299866,12.10214329,458.3299866,115.4869614,
458.6300049,11.96483135,458.6300049,114.1953735,
458.7799988,11.56705284,458.7799988,113.1931915,
458.9299927,11.60437584,458.9299927,112.3727798,
459.2399902,11.24941349,459.2399902,110.2569885,
459.3900146,11.30525398,459.3900146,108.7811279,
459.5400085,11.14662933,459.5400085,107.9383163,
459.8399963,11.40569782,459.8399963,107.0507813,
460,11.23779583,460,106.5728149,
460.1400146,11.07584858,460.1400146,104.646492,
460.4400024,10.55204105,460.4400024,103.5101242,
460.5899963,10.68805981,460.5899963,101.7620773,
460.7399902,10.80512333,460.7399902,102.349678,
461.0400085,10.44112396,461.0400085,100.2132187,
461.1900024,10.4432745,461.1900024,100.9801941,
461.3399963,10.13402462,461.3399963,99.20878601,
461.6400146,10.13379669,461.6400146,96.68618774,
461.7900085,9.821156502,461.7900085,96.12438965,
461.9400024,10.10291672,461.9400024,95.55125427,
462.230011,9.829161644,462.230011,94.67072296,
462.3800049,9.828683853,462.3800049,93.29644012,
462.5299988,9.911570549,462.5299988,93.48340607,
462.8299866,9.681838036,462.8299866,90.47546387,
462.980011,9.218504906,462.980011,90.26592255,
463.1300049,9.233795166,463.1300049,88.94555664,
463.4299927,9.050614357,463.4299927,87.07124329,
463.5799866,9.16193676,463.5799866,87.84399414,
463.730011,9.247102737,463.730011,86.70835876,
464.019989,8.619613647,464.019989,84.88925171,
464.1700134,8.741491318,464.1700134,83.52165985,
464.3200073,8.533268929,464.3200073,83.44311523,
464.6199951,8.953596115,464.6199951,82.39109039,
464.769989,8.373212814,464.769989,81.27467346,
465.0700073,8.391861916,465.0700073,80.72856903,
465.2200012,8.018133163,465.2200012,79.68424988,
465.3699951,8.327095032,465.3699951,78.63852692,
465.6700134,8.347802162,465.6700134,77.86322784,
465.8200073,8.026439667,465.8200073,76.64388275,
465.9700012,8.001391411,465.9700012,76.80636597,
466.2600098,7.894804001,466.2600098,74.79605103,
466.4100037,7.866378784,466.4100037,74.1546936,
466.5599976,7.802974701,466.5599976,73.31231689,
466.7099915,7.858167171,466.7099915,72.69644165,
467.0100098,7.363474369,467.0100098,71.51720428,
467.1600037,7.348467827,467.1600037,71.35267639,
467.4599915,7.309093952,467.4599915,70.16376495,
467.6099854,7.399274826,467.6099854,68.80657196,
467.7600098,7.302238941,467.7600098,69.07478333,
468.0499878,7.343225002,468.0499878,67.86901093,
468.2000122,6.956931114,468.2000122,66.75077057,
468.3500061,7.067574024,468.3500061,67.33705139,
468.6499939,6.925028324,468.6499939,65.47177124,
468.7999878,6.528821945,468.7999878,64.79033661,
468.9500122,6.66039753,468.9500122,64.79788208,
469.25,6.646432877,469.25,63.30192184,
469.3999939,6.638309479,469.3999939,63.81941605,
469.5499878,6.764294147,469.5499878,62.41818619,
469.8500061,6.224133015,469.8500061,60.85737228,
470,6.543201923,470,60.16398239,
470.1400146,6.210415363,470.1400146,60.6662674,
470.4400024,6.168376446,470.4400024,59.89784241,
470.5899963,6.260939121,470.5899963,59.33302689,
470.7399902,6.012204647,470.7399902,58.83335876,
471.0400085,6.125234127,471.0400085,57.48299026,
471.1900024,5.867656708,471.1900024,56.52584076,
471.3399963,5.857586384,471.3399963,56.74710846,
471.6400146,6.139687061,471.6400146,56.19865417,
471.7900085,5.822964191,471.7900085,55.67987442,
471.9400024,5.572097301,471.9400024,55.3180542,
472.230011,5.819012165,472.230011,53.88527298,
472.3800049,5.684998512,472.3800049,53.57643127,
472.5299988,5.493215561,472.5299988,53.85132599,
472.8299866,5.43330431,472.8299866,52.771698,
472.980011,5.581226349,472.980011,52.19187164,
473.1300049,5.582142353,473.1300049,52.10643768,
473.4299927,5.257057667,473.4299927,50.85100555,
473.5799866,5.079420567,473.5799866,50.13085175,
473.730011,5.308944225,473.730011,49.80303955,
474.019989,5.410330296,474.019989,49.94528961,
474.1700134,5.095796108,474.1700134,48.97202682,
474.3200073,5.102803707,474.3200073,48.67333603,
474.6199951,4.909392357,474.6199951,47.97382736,
474.769989,5.04242754,474.769989,47.5312233,
475.0700073,5.026833057,475.0700073,46.46186066,
475.2200012,4.857987404,475.2200012,46.39892197,
475.3699951,4.764097214,475.3699951,46.36788177,
475.6700134,4.56895113,475.6700134,45.24640274,
475.8200073,4.605418205,475.8200073,44.85903931,
475.9700012,4.711926937,475.9700012,44.59918594,
476.2600098,4.583217621,476.2600098,44.4040451,
476.4100037,4.727303028,476.4100037,43.64484406,
476.5599976,4.603482723,476.5599976,43.74726105,
476.7099915,4.696008682,476.7099915,43.22708511,
477.0100098,4.51977396,477.0100098,42.8422966,
477.1600037,4.405202866,477.1600037,41.82722855,
477.4599915,4.434880733,477.4599915,41.55156326,
477.6099854,4.538808823,477.6099854,41.30353928,
477.7600098,4.382631779,477.7600098,41.61272812,
478.0499878,4.305767059,478.0499878,40.68728256,
478.2000122,4.193395615,478.2000122,40.25005722,
478.3500061,4.244465828,478.3500061,39.58856964,
478.6499939,4.188296795,478.6499939,38.754776,
478.7999878,4.073991776,478.7999878,39.04801178,
478.9500122,4.19570446,478.9500122,38.47186661,
479.25,4.016140938,479.25,38.10356903,
479.3999939,3.989821196,479.3999939,37.98547363,
479.5499878,3.960232258,479.5499878,37.31624222,
479.8500061,3.945439577,479.8500061,37.10411072,
480,3.893168449,480,36.79945374,
480.1400146,3.83275938,480.1400146,36.2125473,
480.4400024,3.715086937,480.4400024,35.894104,
480.5899963,3.902357578,480.5899963,35.55512238,
480.7399902,3.832496881,480.7399902,35.00819778,
481.0400085,3.678406,481.0400085,35.07711411,
481.1900024,3.709439754,481.1900024,34.94830322,
481.3399963,3.627324343,481.3399963,34.12309265,
481.6400146,3.463247299,481.6400146,34.19564056,
481.7900085,3.550125122,481.7900085,33.57710266,
481.9400024,3.493550539,481.9400024,33.23398972,
482.230011,3.569876432,482.230011,32.68164444,
482.3800049,3.463306427,482.3800049,32.50162888,
482.5299988,3.226291418,482.5299988,32.22075272,
482.8299866,3.481299162,482.8299866,31.77135849,
482.980011,3.414504528,482.980011,31.38336563,
483.1300049,3.415548086,483.1300049,31.38067627,
483.4299927,3.370443583,483.4299927,30.4448204,
483.5799866,3.330500603,483.5799866,30.72977066,
483.730011,3.118503094,483.730011,30.12729073,
484.019989,3.097295284,484.019989,29.59046555,
484.1700134,2.943720818,484.1700134,29.39866257,
484.3200073,2.967471838,484.3200073,28.78559875,
484.6199951,3.085059643,484.6199951,28.35965919,
484.769989,2.921201468,484.769989,28.54126549,
485.0700073,3.051362514,485.0700073,28.07740593,
485.2200012,3.030641079,485.2200012,28.2394371,
485.3699951,2.878330231,485.3699951,27.30502892,
485.6700134,2.997676134,485.6700134,27.12669373,
485.8200073,2.859741926,485.8200073,26.99061775,
485.9700012,2.737695694,485.9700012,26.66339874,
486.2600098,2.664558411,486.2600098,26.65716553,
486.4100037,2.668716908,486.4100037,26.44485474,
486.5599976,2.708013058,486.5599976,25.8564415,
486.7099915,2.598866701,486.7099915,25.87904358,
487.0100098,2.58182478,487.0100098,25.6902504,
487.1600037,2.693086386,487.1600037,25.08819962,
487.4599915,2.489533186,487.4599915,24.87329865,
487.6099854,2.672543764,487.6099854,24.79829979,
487.7600098,2.686706781,487.7600098,24.67526817,
488.0499878,2.492208004,488.0499878,23.60788536,
488.2000122,2.507357836,488.2000122,23.9169445,
488.3500061,2.487261534,488.3500061,23.74147797,
488.6499939,2.356400728,488.6499939,23.44484138,
488.7999878,2.42403841,488.7999878,23.07569885,
488.9500122,2.421230555,488.9500122,22.94184685,
489.25,2.37847662,489.25,22.07466698,
489.3999939,2.451690197,489.3999939,22.07169724,
489.5499878,2.354067087,489.5499878,22.27684212,
489.8500061,2.280751467,489.8500061,21.76889229,
490,2.264752865,490,21.77120399,
490.1400146,2.393151283,490.1400146,21.8053112,
490.4400024,2.181081057,490.4400024,20.76080132,
490.5899963,2.136250973,490.5899963,20.73923492,
490.7399902,2.260570765,490.7399902,20.79084587,
491.0400085,2.223313808,491.0400085,20.75123024,
491.1900024,2.157861948,491.1900024,20.32741547,
491.3399963,2.062727451,491.3399963,20.47447014,
491.6400146,2.165771723,491.6400146,19.96573448,
491.7900085,2.035252333,491.7900085,19.84466743,
491.9400024,2.151127815,491.9400024,19.30783844,
