Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,Pyranine in Water,,Pyranine in Water,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,480,8.693965912,480,84.66819,400,15.93444538,400,653.2070313,400,29.34888458,400,3.070938587,
,,481.0400085,8.495030403,481.0400085,81.12729645,400.1499939,16.57294655,400.1499939,661.5353394,400.1499939,30.48709679,400.1499939,3.154354811,
,,481.9400024,8.176837921,481.9400024,77.38141632,400.4500122,17.74213028,400.4500122,673.9840088,400.4500122,30.93075371,400.4500122,3.260998011,
,,482.980011,7.866193771,482.980011,73.820755,400.6000061,18.02898216,400.6000061,680.7217407,400.6000061,31.47852707,400.6000061,3.340407848,
,,484.019989,7.396054745,484.019989,70.78827667,400.75,18.74894524,400.75,685.5151978,400.75,31.71767616,400.75,3.377337217,
,,485.0700073,6.894598484,485.0700073,67.45392609,401.0599976,20.40539551,401.0599976,702.4307251,401.0599976,32.94031525,401.0599976,3.515244007,
,,485.9700012,6.905372143,485.9700012,63.42844009,401.2099915,21.85844231,401.2099915,712.9110107,401.2099915,34.24092865,401.2099915,3.380162001,
,,487.0100098,6.368256092,487.0100098,60.4701004,401.3599854,22.93406487,401.3599854,719.9377441,401.3599854,34.66921997,401.3599854,3.741593838,
,,488.0499878,5.799937248,488.0499878,57.49811935,401.6600037,24.21236801,401.6600037,725.8131714,401.6600037,35.04469681,401.6600037,3.811090469,
,,488.9500122,5.776608467,488.9500122,55.17134094,401.8099976,25.03133011,401.8099976,729.4729004,401.8099976,35.34492493,401.8099976,3.686756372,
,,490,5.360019684,490,52.75686646,401.9599915,25.96144867,401.9599915,734.4543457,401.9599915,35.60255432,401.9599915,3.72371769,
,,491.0400085,5.279380322,491.0400085,50.20933914,402.269989,28.26675797,402.269989,741.6547241,402.269989,36.59391403,402.269989,3.966570854,
,,491.9400024,5.05714941,491.9400024,48.32448578,402.4200134,30.01056671,402.4200134,743.1692505,402.4200134,36.62308884,402.4200134,4.071717262,
,,492.980011,4.649290085,492.980011,45.33219147,402.5700073,31.07711411,402.5700073,749.4144287,402.5700073,36.33688354,402.5700073,3.882931948,
,,494.019989,4.458578587,494.019989,43.5052681,402.7200012,32.03161621,402.7200012,746.1743774,402.7200012,36.67084503,402.7200012,3.897281885,
,,495.0700073,4.528628349,495.0700073,41.53118515,403.0299988,33.78160477,403.0299988,748.7341919,403.0299988,36.75235748,403.0299988,4.046268463,
,,495.9700012,4.225068092,495.9700012,39.88931656,403.1799927,34.87651062,403.1799927,746.2288818,403.1799927,36.84190369,403.1799927,3.948416948,
,,497.0100098,4.004698277,497.0100098,37.32414627,403.3299866,36.55804443,403.3299866,745.031189,403.3299866,36.85774231,403.3299866,3.919217348,
,,498.0499878,3.744410515,498.0499878,36.20981979,403.6300049,40.89715576,403.6300049,742.973938,403.6300049,36.83216858,403.6300049,3.91415,
,,498.9500122,3.545128822,498.9500122,34.90858078,403.7799988,41.7420845,403.7799988,743.7018433,403.7799988,36.50426102,403.7799988,3.823308468,
,,500,3.419139624,500,33.02745438,403.9299927,43.10003281,403.9299927,740.0999756,403.9299927,35.95013046,403.9299927,3.953312159,
,,501.0400085,3.363098621,501.0400085,31.14415169,404.2399902,45.75952911,404.2399902,738.0857544,404.2399902,35.85299301,404.2399902,3.88935256,
,,501.9400024,3.379380465,501.9400024,31.06431961,404.3900146,47.18976593,404.3900146,736.4215698,404.3900146,35.99491882,404.3900146,4.037378788,
,,502.980011,3.040997028,502.980011,28.98361015,404.5400085,48.98601913,404.5400085,733.4216919,404.5400085,35.31283188,404.5400085,3.753192902,
,,504.019989,2.931981802,504.019989,27.99977112,404.8399963,54.08816147,404.8399963,724.9389038,404.8399963,34.17562866,404.8399963,3.732555389,
,,505.0700073,2.719675541,505.0700073,26.59075356,405,56.00933456,405,719.9352417,405,33.98610306,405,3.558125496,
,,505.9700012,2.90668726,505.9700012,25.48184586,405.1499939,57.86981583,405.1499939,717.1646729,405.1499939,33.80279922,405.1499939,3.567996025,
,,507.0100098,2.585881472,507.0100098,24.46041489,405.4500122,60.98176956,405.4500122,711.2374268,405.4500122,33.58613968,405.4500122,3.529759169,
,,508.0499878,2.540918112,508.0499878,23.44049644,405.6000061,62.57814026,405.6000061,707.0350342,405.6000061,33.65952301,405.6000061,3.50581336,
,,508.9500122,2.266183615,508.9500122,22.39821434,405.75,65.0955658,405.75,704.5244751,405.75,32.78667831,405.75,3.435109854,
,,510,2.319383383,510,21.49056244,406.0599976,72.77565002,406.0599976,688.8892212,406.0599976,31.73638916,406.0599976,3.488117218,
,,511.019989,2.270555973,511.019989,20.64198685,406.2099915,75.93741608,406.2099915,682.1517334,406.2099915,31.3951931,406.2099915,3.281933069,
,,512.0499878,1.995098591,512.0499878,19.73003769,406.3599854,78.27791595,406.3599854,678.2935181,406.3599854,31.17018318,406.3599854,3.410979271,
,,512.9400024,2.107435226,512.9400024,18.5186348,406.6600037,82.04600525,406.6600037,672.3772583,406.6600037,30.58205223,406.6600037,3.406608105,
,,513.9699707,1.911696076,513.9699707,18.04065323,406.8099976,85.05536652,406.8099976,668.045166,406.8099976,30.73769188,406.8099976,3.156164885,
,,515,1.703598976,515,17.13300896,406.9599915,87.9804306,406.9599915,662.1069336,406.9599915,30.30636024,406.9599915,3.21821785,
,,516.0200195,1.707242846,516.0200195,16.46913719,407.269989,97.04554749,407.269989,642.6256714,407.269989,29.86672592,407.269989,3.177318096,
,,517.0499878,1.781370282,517.0499878,15.6268034,407.4200134,100.3084183,407.4200134,637.0792236,407.4200134,29.64029312,407.4200134,3.305723667,
,,517.9400024,1.60946238,517.9400024,15.18853474,407.5700073,102.5011368,407.5700073,635.0290527,407.5700073,29.56243324,407.5700073,3.082417011,
,,518.9699707,1.629264355,518.9699707,14.39376068,407.7200012,104.4777222,407.7200012,629.4502563,407.7200012,28.91503716,407.7200012,3.186723232,
,,520,1.607706666,520,14.01917744,408.0299988,110.3499908,408.0299988,620.6593628,408.0299988,28.949049,408.0299988,3.215675116,
,,521.039978,1.391708493,521.039978,13.1505518,408.1799927,114.788002,408.1799927,614.7804565,408.1799927,29.38644981,408.1799927,3.091686487,
,,521.9400024,1.393074989,521.9400024,12.52164364,408.3299866,118.857048,408.3299866,603.4716187,408.3299866,28.71892166,408.3299866,3.134539843,
,,522.9799805,1.249399424,522.9799805,11.95895195,408.6300049,129.1412506,408.6300049,590.5076904,408.6300049,28.16567993,408.6300049,3.009219408,
,,524.0200195,1.360009313,524.0200195,11.59757423,408.7799988,131.6089172,408.7799988,589.4188232,408.7799988,28.28686333,408.7799988,2.999083996,
,,525.0700073,1.254008651,525.0700073,11.22150135,408.9299927,133.3926697,408.9299927,585.1010742,408.9299927,27.90468407,408.9299927,3.065962076,
,,525.9699707,1.187180996,525.9699707,10.88618088,409.2399902,139.5889435,409.2399902,573.9516602,409.2399902,27.8954258,409.2399902,3.128990412,
,,527.0100098,1.238246322,527.0100098,10.20522213,409.3900146,143.2553864,409.3900146,568.8125,409.3900146,27.88434792,409.3900146,2.82268095,
,,528.0499878,1.044053912,528.0499878,9.890288353,409.5400085,147.8485565,409.5400085,562.300354,409.5400085,27.77903557,409.5400085,3.046964884,
,,528.9500122,1.05531776,528.9500122,9.388151169,409.8399963,158.5314789,409.8399963,545.4664307,409.8399963,27.69299698,409.8399963,2.851020098,
,,530,0.9392512441,530,8.817401886,410,161.7160797,410,539.7493286,410,26.83036613,410,2.963326454,
,,531.0200195,0.9502876997,531.0200195,8.52657795,410.1499939,164.7608795,410.1499939,538.4259033,410.1499939,27.67298126,410.1499939,2.808020353,
,,532.0499878,0.8466116786,532.0499878,8.073890686,410.4500122,171.6501312,410.4500122,529.2185669,410.4500122,26.77457428,410.4500122,2.858245134,
,,532.9400024,0.8540254235,532.9400024,7.777340889,410.6000061,175.7523651,410.6000061,524.2142334,410.6000061,27.28160667,410.6000061,3.021014452,
,,533.9699707,0.7690792084,533.9699707,7.341790199,410.75,181.5621033,410.75,514.9985962,410.75,26.86325073,410.75,2.877589703,
,,535,0.7351263762,535,7.136752129,411.0599976,193.9339447,411.0599976,498.9304199,411.0599976,26.88810921,411.0599976,2.979089022,
,,536.0200195,0.7220724225,536.0200195,6.969143867,411.2099915,196.681778,411.2099915,499.2492676,411.2099915,27.17152977,411.2099915,2.887877226,
,,537.0499878,0.6921982765,537.0499878,6.447444916,411.3599854,199.4817352,411.3599854,493.6467285,411.3599854,26.80464363,411.3599854,2.868014336,
,,537.9400024,0.6566960216,537.9400024,6.380029678,411.6600037,206.9808655,411.6600037,485.6104736,411.6600037,27.42212868,411.6600037,2.802065849,
,,538.9699707,0.6490126848,538.9699707,6.046313286,411.8099976,211.5190887,411.8099976,479.9829407,411.8099976,27.05179024,411.8099976,2.837795973,
,,540,0.5863344073,540,5.856580257,411.9599915,215.8281555,411.9599915,475.9359131,411.9599915,27.48078918,411.9599915,2.937065601,
,,541.0200195,0.5747613907,541.0200195,5.399302483,412.269989,227.8141479,412.269989,465.2415161,412.269989,27.59731865,412.269989,2.964302063,
,,542.0499878,0.4774799049,542.0499878,5.344601154,412.4200134,230.3907471,412.4200134,462.4110107,412.4200134,27.95230293,412.4200134,2.928421021,
,,542.9400024,0.5142032504,542.9400024,5.259471416,412.5700073,232.7557373,412.5700073,459.817688,412.5700073,27.56583977,412.5700073,2.953752041,
,,543.9699707,0.557313621,543.9699707,4.965067863,412.7200012,237.4788361,412.7200012,456.5108337,412.7200012,28.33563232,412.7200012,2.979715586,
,,545,0.5891959071,545,4.883641243,413.0299988,244.9973755,413.0299988,446.6312561,413.0299988,27.88107681,413.0299988,2.958304644,
,,546.0200195,0.5595448613,546.0200195,4.613812447,413.1799927,250.5345612,413.1799927,444.1555481,413.1799927,28.1674633,413.1799927,2.97776103,
,,547.0499878,0.5381551981,547.0499878,4.219202042,413.3299866,256.427124,413.3299866,441.0689697,413.3299866,28.92988205,413.3299866,3.090725183,
,,547.9400024,0.5343851447,547.9400024,4.278473854,413.6300049,262.7102661,413.6300049,436.4729614,413.6300049,29.12154007,413.6300049,3.042577267,
,,548.9699707,0.4544028938,548.9699707,3.983964205,413.7799988,265.2115479,413.7799988,433.6886292,413.7799988,29.56278419,413.7799988,3.289660931,
,,550,0.3740237355,550,3.718926191,413.9299927,268.8394165,413.9299927,432.5734253,413.9299927,29.92523575,413.9299927,3.052722454,
,,551.0200195,0.3458184302,551.0200195,3.742954969,414.2399902,275.1370239,414.2399902,427.9642639,414.2399902,29.99381256,414.2399902,3.256388903,
,,552.0499878,0.4065932631,552.0499878,3.661526203,414.3900146,280.3804016,414.3900146,426.7705688,414.3900146,29.85548019,414.3900146,3.084187746,
,,552.9400024,0.3590523601,552.9400024,3.44587326,414.5400085,284.9734192,414.5400085,424.8327332,414.5400085,31.69098091,414.5400085,3.242514133,
,,553.9699707,0.2790794373,553.9699707,3.346637964,414.8399963,292.0613403,414.8399963,422.1272583,414.8399963,31.72130585,414.8399963,3.297931671,
,,555,0.3299513161,555,3.156662464,415,294.0247192,415,423.0862427,415,32.21279526,415,3.319419146,
