50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
401.3599854,0.1526212692,401.3599854,8.497642517,
401.6600037,0.07652720064,401.6600037,8.950808525,
401.8099976,0.07784120739,401.8099976,9.041114807,
401.9599915,0.03809402883,401.9599915,9.409394264,
402.269989,0.05204030499,402.269989,10.35087776,
402.4200134,0.1259739399,402.4200134,10.74320793,
402.5700073,0.0378128998,402.5700073,10.99719048,
402.7200012,0.06905644387,402.7200012,10.93822765,
403.0299988,0.06975181401,403.0299988,12.04262161,
403.1799927,0.1201664656,403.1799927,12.18285751,
403.3299866,0.150327906,403.3299866,12.90789032,
403.6300049,0.09317522496,403.6300049,13.79529572,
403.7799988,0.04952149838,403.7799988,13.9547739,
403.9299927,0.07482229918,403.9299927,14.39768219,
404.2399902,0.1576103717,404.2399902,15.35575199,
404.3900146,0.1118470877,404.3900146,15.96593857,
404.5400085,0.0440714471,404.5400085,17.04743576,
404.8399963,0.1164249778,404.8399963,18.1280632,
405,0.08370895684,405,18.4800663,
405.1499939,0.0771292448,405.1499939,18.97961235,
405.4500122,0.1085284203,405.4500122,20.5806675,
405.6000061,0.1024997085,405.6000061,21.58203888,
405.75,0.1260112375,405.75,22.95102692,
406.0599976,0.1467323303,406.0599976,25.27942467,
406.2099915,0.06439481676,406.2099915,25.66237831,
406.3599854,0.09783267975,406.3599854,26.45146751,
406.6600037,0.1334646791,406.6600037,28.95733261,
406.8099976,0.09706915915,406.8099976,30.38079262,
406.9599915,0.1016925424,406.9599915,32.46389771,
407.269989,0.1274786592,407.269989,35.1193161,
407.4200134,0.08081863075,407.4200134,35.93069458,
407.5700073,0.1080895439,407.5700073,36.93838501,
407.7200012,0.06821662933,407.7200012,38.85027695,
408.0299988,0.1272791028,408.0299988,42.82963181,
408.1799927,0.02526879683,408.1799927,45.8838768,
408.3299866,0.14343445,408.3299866,47.31987762,
408.6300049,0.09510223567,408.6300049,50.01669312,
408.7799988,0.120483458,408.7799988,51.99208832,
408.9299927,0.1188547388,408.9299927,53.15855789,
409.2399902,0.1361158639,409.2399902,58.08789063,
409.3900146,0.1571526527,409.3900146,61.86884308,
409.5400085,0.1118957698,409.5400085,64.27402496,
409.8399963,0.1198496148,409.8399963,68.24010468,
410,0.2564760149,410,70.13607025,
