Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,504.019989,2.931981802,504.019989,27.99977112,404.8399963,54.08816147,
,,505.0700073,2.719675541,505.0700073,26.59075356,405,56.00933456,
,,505.9700012,2.90668726,505.9700012,25.48184586,405.1499939,57.86981583,
,,507.0100098,2.585881472,507.0100098,24.46041489,405.4500122,60.98176956,
,,508.0499878,2.540918112,508.0499878,23.44049644,405.6000061,62.57814026,
,,508.9500122,2.266183615,508.9500122,22.39821434,405.75,65.0955658,
,,510,2.319383383,510,21.49056244,406.0599976,72.77565002,
,,511.019989,2.270555973,511.019989,20.64198685,406.2099915,75.93741608,
,,512.0499878,1.995098591,512.0499878,19.73003769,406.3599854,78.27791595,
,,512.9400024,2.107435226,512.9400024,18.5186348,406.6600037,82.04600525,
,,513.9699707,1.911696076,513.9699707,18.04065323,406.8099976,85.05536652,
,,515,1.703598976,515,17.13300896,406.9599915,87.9804306,
,,516.0200195,1.707242846,516.0200195,16.46913719,407.269989,97.04554749,
,,517.0499878,1.781370282,517.0499878,15.6268034,407.4200134,100.3084183,
,,517.9400024,1.60946238,517.9400024,15.18853474,407.5700073,102.5011368,
,,518.9699707,1.629264355,518.9699707,14.39376068,407.7200012,104.4777222,
,,520,1.607706666,520,14.01917744,408.0299988,110.3499908,
,,521.039978,1.391708493,521.039978,13.1505518,408.1799927,114.788002,
,,521.9400024,1.393074989,521.9400024,12.52164364,408.3299866,118.857048,
,,522.9799805,1.249399424,522.9799805,11.95895195,408.6300049,129.1412506,
,,524.0200195,1.360009313,524.0200195,11.59757423,408.7799988,131.6089172,
,,525.0700073,1.254008651,525.0700073,11.22150135,408.9299927,133.3926697,
,,525.9699707,1.187180996,525.9699707,10.88618088,409.2399902,139.5889435,
,,527.0100098,1.238246322,527.0100098,10.20522213,409.3900146,143.2553864,
,,528.0499878,1.044053912,528.0499878,9.890288353,409.5400085,147.8485565,
,,528.9500122,1.05531776,528.9500122,9.388151169,409.8399963,158.5314789,
,,530,0.9392512441,530,8.817401886,410,161.7160797,
,,531.0200195,0.9502876997,531.0200195,8.52657795,410.1499939,164.7608795,
,,532.0499878,0.8466116786,532.0499878,8.073890686,410.4500122,171.6501312,
,,532.9400024,0.8540254235,532.9400024,7.777340889,410.6000061,175.7523651,
,,533.9699707,0.7690792084,533.9699707,7.341790199,410.75,181.5621033,
,,535,0.7351263762,535,7.136752129,411.0599976,193.9339447,
,,536.0200195,0.7220724225,536.0200195,6.969143867,411.2099915,196.681778,
,,537.0499878,0.6921982765,537.0499878,6.447444916,411.3599854,199.4817352,
,,537.9400024,0.6566960216,537.9400024,6.380029678,411.6600037,206.9808655,
,,538.9699707,0.6490126848,538.9699707,6.046313286,411.8099976,211.5190887,
,,540,0.5863344073,540,5.856580257,411.9599915,215.8281555,
,,541.0200195,0.5747613907,541.0200195,5.399302483,412.269989,227.8141479,
,,542.0499878,0.4774799049,542.0499878,5.344601154,412.4200134,230.3907471,
,,542.9400024,0.5142032504,542.9400024,5.259471416,412.5700073,232.7557373,
,,543.9699707,0.557313621,543.9699707,4.965067863,412.7200012,237.4788361,
,,545,0.5891959071,545,4.883641243,413.0299988,244.9973755,
,,546.0200195,0.5595448613,546.0200195,4.613812447,413.1799927,250.5345612,
,,547.0499878,0.5381551981,547.0499878,4.219202042,413.3299866,256.427124,
,,547.9400024,0.5343851447,547.9400024,4.278473854,413.6300049,262.7102661,
,,548.9699707,0.4544028938,548.9699707,3.983964205,413.7799988,265.2115479,
,,550,0.3740237355,550,3.718926191,413.9299927,268.8394165,
,,551.0200195,0.3458184302,551.0200195,3.742954969,414.2399902,275.1370239,
,,552.0499878,0.4065932631,552.0499878,3.661526203,414.3900146,280.3804016,
,,552.9400024,0.3590523601,552.9400024,3.44587326,414.5400085,284.9734192,
,,553.9699707,0.2790794373,553.9699707,3.346637964,414.8399963,292.0613403,
,,555,0.3299513161,555,3.156662464,415,294.0247192,
,,556.0200195,0.3790990114,556.0200195,3.100099564,415.1499939,296.541748,
,,557.0499878,0.3252488673,557.0499878,3.00474453,415.4500122,303.7193909,
,,557.9400024,0.318230629,557.9400024,2.860919476,415.6000061,308.2080078,
,,558.9699707,0.3253131807,558.9699707,2.556001186,415.75,312.6660767,
,,560,0.2844069004,560,2.697509527,416.0599976,320.8033447,
,,561.0200195,0.251126945,561.0200195,2.602626324,416.2099915,320.6919861,
,,562.0499878,0.3185458779,562.0499878,2.497295618,416.3599854,324.3968506,
,,562.9400024,0.2789913416,562.9400024,2.260938168,416.6600037,330.1552429,
,,563.9699707,0.2409546822,563.9699707,2.124285936,416.8099976,332.8906555,
,,565,0.2184219658,565,2.206976891,416.9599915,337.1029358,
,,566.0200195,0.2314502299,566.0200195,2.058017731,417.269989,342.6110535,
,,567.0499878,0.3005974293,567.0499878,1.990198135,417.4200134,342.9588318,
,,567.9400024,0.1627420932,567.9400024,1.925624967,417.5700073,344.4751282,
,,568.9699707,0.1556129605,568.9699707,1.870925307,417.7200012,347.0184326,
,,570,0.2160173804,570,1.866042495,418.0299988,352.8616028,
,,571.0200195,0.1315575242,571.0200195,1.795296788,418.1799927,355.0192566,
,,572.0499878,0.1792369485,572.0499878,1.678179264,418.3299866,356.9228821,
,,572.9400024,0.1832520664,572.9400024,1.626036763,418.6300049,359.2196655,
,,573.9699707,0.1330928802,573.9699707,1.606671453,418.7799988,360.9408264,
,,575,0.1761769652,575,1.456119895,418.9299927,362.0420227,
,,576.0200195,0.1787949204,576.0200195,1.468657732,419.2399902,365.0286255,
,,577.0499878,0.1658958048,577.0499878,1.521210313,419.3900146,367.1792297,
,,577.9400024,0.2084351182,577.9400024,1.383011222,419.5400085,368.6202087,
,,578.9699707,0.08595609665,578.9699707,1.453237176,419.8399963,369.7955017,
,,580,0.2441296577,580,1.306631446,420,371.8109436,
,,581.0100098,0.1292515695,581.0100098,1.096433997,420.1499939,371.8030701,
,,582.0200195,0.1304945052,582.0200195,1.238207221,420.4500122,375.0591431,
,,583.039978,0.2259211391,583.039978,1.101721287,420.6000061,376.8685303,
,,584.0499878,0.1079460979,584.0499878,1.120229363,420.75,376.803009,
,,585.0700073,0.09578054398,585.0700073,1.1577425,421.0599976,378.0507813,
,,585.9400024,0.2682368159,585.9400024,1.066975236,421.2099915,377.3786926,
,,586.9500122,0.1199858561,586.9500122,0.980404675,421.3599854,378.4631042,
,,587.9699707,0.0694128871,587.9699707,0.9715296626,421.6600037,379.3626404,
,,588.9799805,0.04369046912,588.9799805,1.003178716,421.8099976,379.6376953,
,,590,0.1070225686,590,0.9692527652,421.9599915,379.6249084,
,,591.0100098,0.1252387315,591.0100098,0.8759422898,422.269989,380.6582642,
,,592.0200195,0.1340174675,592.0200195,0.8169986606,422.4200134,380.1269531,
,,593.039978,0.1290297657,593.039978,0.9286350012,422.5700073,379.0997925,
,,594.0499878,0.103351824,594.0499878,0.8140212297,422.7200012,379.9588013,
,,595.0700073,0.09158767015,595.0700073,0.6979683638,423.0299988,378.7808228,
,,595.9400024,0.01903758757,595.9400024,0.8347664475,423.1799927,378.6742249,
,,596.9500122,0.0701110363,596.9500122,0.9264799356,423.3299866,377.9295044,
,,597.9699707,0.02540101856,597.9699707,0.7408237457,423.6300049,378.2265625,
,,598.9799805,0.08205516636,598.9799805,0.814661324,423.7799988,377.4566956,
,,600,0.1201626658,600,0.6896639466,423.9299927,376.4797363,
,,,,,,424.2399902,375.967041,
,,,,,,424.3900146,374.4896851,
,,,,,,424.5400085,374.5346069,
,,,,,,424.8399963,373.3984985,
,,,,,,425,372.1401978,
,,,,,,425.1499939,372.5552673,
,,,,,,425.4500122,370.62323,
,,,,,,425.6000061,368.4760437,
,,,,,,425.75,368.0581055,
,,,,,,426.0599976,366.4878845,
,,,,,,426.2099915,364.7799072,
,,,,,,426.3599854,364.5884705,
,,,,,,426.6600037,361.312439,
,,,,,,426.8099976,360.098999,
,,,,,,426.9599915,360.4277954,
,,,,,,427.269989,357.6938477,
,,,,,,427.4200134,357.1201782,
,,,,,,427.5700073,357.4719238,
,,,,,,427.7200012,353.3632813,
,,,,,,428.0299988,352.6002502,
,,,,,,428.1799927,351.2262573,
,,,,,,428.3299866,349.95401,
,,,,,,428.6300049,347.6195374,
,,,,,,428.7799988,348.0175781,
,,,,,,428.9299927,346.2258301,
,,,,,,429.2399902,343.1529846,
,,,,,,429.3900146,342.1869507,
,,,,,,429.5400085,341.6862793,
,,,,,,429.8399963,339.8662109,
,,,,,,430,338.9794006,
,,,,,,430.1499939,337.25,
,,,,,,430.4500122,335.5499268,
,,,,,,430.6000061,334.5428467,
,,,,,,430.75,334.2067871,
,,,,,,431.0599976,333.3845825,
,,,,,,431.2099915,331.997345,
,,,,,,431.3599854,331.0464172,
,,,,,,431.6600037,328.8306885,
,,,,,,431.8099976,327.9133301,
,,,,,,431.9599915,327.3114624,
,,,,,,432.269989,327.7287292,
,,,,,,432.4200134,326.6651001,
,,,,,,432.5700073,324.8952332,
,,,,,,432.7200012,325.0463867,
,,,,,,433.0299988,323.7896118,
,,,,,,433.1799927,323.37854,
,,,,,,433.3299866,323.1177063,
,,,,,,433.6300049,322.7160339,
,,,,,,433.7799988,321.3467712,
,,,,,,433.9299927,320.4134216,
,,,,,,434.2399902,320.2079468,
,,,,,,434.3900146,319.216217,
,,,,,,434.5400085,318.1473083,
,,,,,,434.8399963,318.0779724,
,,,,,,435,317.7294617,
,,,,,,435.1499939,317.6935425,
,,,,,,435.4500122,317.2242432,
,,,,,,435.6000061,315.2099304,
,,,,,,435.75,315.4682007,
,,,,,,436.0599976,315.5851135,
,,,,,,436.2099915,315.1929321,
,,,,,,436.3599854,314.6208496,
,,,,,,436.6600037,313.6597595,
,,,,,,436.8099976,313.723938,
,,,,,,436.9599915,312.9087524,
,,,,,,437.269989,311.9376526,
,,,,,,437.4200134,312.7993469,
,,,,,,437.5700073,311.2868347,
,,,,,,437.7200012,310.5160217,
,,,,,,438.0299988,310.7522888,
,,,,,,438.1799927,311.2465515,
,,,,,,438.3299866,309.7105408,
,,,,,,438.6300049,310.2154236,
,,,,,,438.7799988,308.607666,
,,,,,,438.9299927,308.8698425,
,,,,,,439.2399902,308.6825256,
,,,,,,439.3900146,307.5953064,
,,,,,,439.5400085,308.0557861,
,,,,,,439.8399963,307.0391541,
,,,,,,440,305.2101135,
,,,,,,440.1400146,305.1412354,
,,,,,,440.4400024,305.3895874,
,,,,,,440.5899963,304.1860046,
,,,,,,440.7399902,305.1821899,
,,,,,,441.0400085,303.3271484,
,,,,,,441.1900024,302.1211853,
,,,,,,441.3399963,302.7138367,
,,,,,,441.6400146,301.2351379,
,,,,,,441.7900085,300.7757874,
,,,,,,441.9400024,299.5614014,
,,,,,,442.230011,299.572052,
,,,,,,442.3800049,297.6917114,
,,,,,,442.5299988,297.7762756,
,,,,,,442.8299866,297.1555786,
,,,,,,442.980011,296.7014465,
,,,,,,443.1300049,296.3118286,
,,,,,,443.4299927,294.5877991,
,,,,,,443.5799866,294.0881653,
,,,,,,443.730011,293.2052612,
,,,,,,444.019989,291.6940002,
,,,,,,444.1700134,290.1989441,
,,,,,,444.3200073,291.2805176,
,,,,,,444.6199951,289.2915039,
,,,,,,444.769989,287.6071777,
,,,,,,445.0700073,285.1941528,
,,,,,,445.2200012,285.0566711,
,,,,,,445.3699951,283.9979858,
,,,,,,445.6700134,282.1322632,
,,,,,,445.8200073,281.479126,
,,,,,,445.9700012,279.8628235,
,,,,,,446.2600098,278.5118103,
,,,,,,446.4100037,278.0198975,
,,,,,,446.5599976,276.6882629,
,,,,,,446.7099915,276.5297546,
,,,,,,447.0100098,273.630188,
,,,,,,447.1600037,271.6858521,
,,,,,,447.4599915,269.9636841,
,,,,,,447.6099854,269.8161316,
,,,,,,447.7600098,269.0108643,
,,,,,,448.0499878,267.0140991,
,,,,,,448.2000122,264.857666,
,,,,,,448.3500061,264.1056213,
,,,,,,448.6499939,261.0828552,
,,,,,,448.7999878,261.0386353,
,,,,,,448.9500122,259.6176758,
,,,,,,449.25,257.8343506,
,,,,,,449.3999939,255.5213623,
,,,,,,449.5499878,254.4588776,
,,,,,,449.8500061,251.8780823,
,,,,,,450,250.7280426,
,,,,,,450.1499939,249.7637024,
,,,,,,450.4500122,246.8000641,
,,,,,,450.6000061,245.7208099,
,,,,,,450.75,243.5125885,
,,,,,,451.0599976,242.0465851,
,,,,,,451.2099915,240.7943115,
,,,,,,451.3599854,239.5146332,
,,,,,,451.6600037,237.3127899,
,,,,,,451.8099976,235.4696045,
,,,,,,451.9599915,234.4469452,
,,,,,,452.269989,231.2447205,
,,,,,,452.4200134,230.4029846,
,,,,,,452.5700073,229.1210632,
,,,,,,452.7200012,228.1942444,
,,,,,,453.0299988,226.6068726,
,,,,,,453.1799927,224.1086731,
,,,,,,453.3299866,222.6629639,
,,,,,,453.6300049,221.3528595,
,,,,,,453.7799988,219.6739044,
,,,,,,453.9299927,218.9938965,
,,,,,,454.2399902,215.5276642,
,,,,,,454.3900146,213.6209412,
,,,,,,454.5400085,212.4989777,
,,,,,,454.8399963,210.7398834,
,,,,,,455,210.1920013,
,,,,,,455.1499939,207.976181,
,,,,,,455.4500122,205.1624451,
,,,,,,455.6000061,203.3785858,
,,,,,,455.75,202.5510406,
,,,,,,456.0599976,200.8703308,
,,,,,,456.2099915,199.9474792,
,,,,,,456.3599854,199.0220642,
,,,,,,456.6600037,195.5095825,
,,,,,,456.8099976,194.1736298,
,,,,,,456.9599915,192.9577179,
,,,,,,457.269989,191.2225647,
,,,,,,457.4200134,191.3962555,
,,,,,,457.5700073,189.8654327,
,,,,,,457.7200012,189.1661377,
,,,,,,458.0299988,186.0300446,
,,,,,,458.1799927,184.7289124,
,,,,,,458.3299866,183.3732605,
,,,,,,458.6300049,181.7743988,
,,,,,,458.7799988,182.0869446,
,,,,,,458.9299927,180.683197,
,,,,,,459.2399902,177.1948242,
,,,,,,459.3900146,175.782196,
,,,,,,459.5400085,175.4507294,
,,,,,,459.8399963,173.5638123,
,,,,,,460,172.9995117,
,,,,,,460.1400146,172.0232391,
,,,,,,460.4400024,169.3600922,
,,,,,,460.5899963,168.1727142,
,,,,,,460.7399902,167.3920288,
,,,,,,461.0400085,166.2935028,
,,,,,,461.1900024,165.715744,
,,,,,,461.3399963,163.9771881,
,,,,,,461.6400146,162.1520996,
,,,,,,461.7900085,161.7913361,
,,,,,,461.9400024,160.0467072,
,,,,,,462.230011,159.2198486,
,,,,,,462.3800049,158.5834045,
,,,,,,462.5299988,157.7320251,
,,,,,,462.8299866,155.8851013,
,,,,,,462.980011,154.8802185,
,,,,,,463.1300049,154.3753357,
,,,,,,463.4299927,153.2881317,
,,,,,,463.5799866,152.7346649,
,,,,,,463.730011,151.4581604,
,,,,,,464.019989,150.1459808,
,,,,,,464.1700134,148.8703766,
,,,,,,464.3200073,148.3132935,
,,,,,,464.6199951,146.6167297,
,,,,,,464.769989,146.5751801,
,,,,,,465.0700073,144.9491272,
,,,,,,465.2200012,143.7362061,
,,,,,,465.3699951,142.6417694,
,,,,,,465.6700134,141.6058807,
,,,,,,465.8200073,141.1541595,
,,,,,,465.9700012,140.17276,
,,,,,,466.2600098,139.3651581,
,,,,,,466.4100037,138.9133301,
,,,,,,466.5599976,137.4083862,
,,,,,,466.7099915,137.3640137,
,,,,,,467.0100098,135.8423767,
,,,,,,467.1600037,135.5451508,
,,,,,,467.4599915,133.877121,
,,,,,,467.6099854,133.131958,
,,,,,,467.7600098,131.9436646,
,,,,,,468.0499878,131.407196,
,,,,,,468.2000122,131.0757904,
,,,,,,468.3500061,130.1224365,
,,,,,,468.6499939,129.3895416,
,,,,,,468.7999878,128.9323425,
,,,,,,468.9500122,127.5609436,
,,,,,,469.25,126.6425247,
,,,,,,469.3999939,125.5770187,
,,,,,,469.5499878,125.7583923,
,,,,,,469.8500061,124.3299561,
,,,,,,470,123.7015533,
,,,,,,470.1400146,122.7701187,
,,,,,,470.4400024,121.9331589,
,,,,,,470.5899963,121.4058151,
,,,,,,470.7399902,120.676506,
,,,,,,471.0400085,119.1506348,
,,,,,,471.1900024,118.5778809,
,,,,,,471.3399963,117.8878174,
,,,,,,471.6400146,117.1679306,
,,,,,,471.7900085,117.0883636,
,,,,,,471.9400024,117.0947495,
,,,,,,472.230011,115.2802353,
,,,,,,472.3800049,114.4210968,
,,,,,,472.5299988,113.9451599,
,,,,,,472.8299866,113.1871643,
,,,,,,472.980011,112.4836502,
,,,,,,473.1300049,112.1943512,
,,,,,,473.4299927,110.6075592,
