Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,485.9700012,6.905372143,485.9700012,63.42844009,401.2099915,21.85844231,401.2099915,712.9110107,
,,487.0100098,6.368256092,487.0100098,60.4701004,401.3599854,22.93406487,401.3599854,719.9377441,
,,488.0499878,5.799937248,488.0499878,57.49811935,401.6600037,24.21236801,401.6600037,725.8131714,
,,488.9500122,5.776608467,488.9500122,55.17134094,401.8099976,25.03133011,401.8099976,729.4729004,
,,490,5.360019684,490,52.75686646,401.9599915,25.96144867,401.9599915,734.4543457,
,,491.0400085,5.279380322,491.0400085,50.20933914,402.269989,28.26675797,402.269989,741.6547241,
,,491.9400024,5.05714941,491.9400024,48.32448578,402.4200134,30.01056671,402.4200134,743.1692505,
,,492.980011,4.649290085,492.980011,45.33219147,402.5700073,31.07711411,402.5700073,749.4144287,
,,494.019989,4.458578587,494.019989,43.5052681,402.7200012,32.03161621,402.7200012,746.1743774,
,,495.0700073,4.528628349,495.0700073,41.53118515,403.0299988,33.78160477,403.0299988,748.7341919,
,,495.9700012,4.225068092,495.9700012,39.88931656,403.1799927,34.87651062,403.1799927,746.2288818,
,,497.0100098,4.004698277,497.0100098,37.32414627,403.3299866,36.55804443,403.3299866,745.031189,
,,498.0499878,3.744410515,498.0499878,36.20981979,403.6300049,40.89715576,403.6300049,742.973938,
,,498.9500122,3.545128822,498.9500122,34.90858078,403.7799988,41.7420845,403.7799988,743.7018433,
,,500,3.419139624,500,33.02745438,403.9299927,43.10003281,403.9299927,740.0999756,
,,501.0400085,3.363098621,501.0400085,31.14415169,404.2399902,45.75952911,404.2399902,738.0857544,
,,501.9400024,3.379380465,501.9400024,31.06431961,404.3900146,47.18976593,404.3900146,736.4215698,
,,502.980011,3.040997028,502.980011,28.98361015,404.5400085,48.98601913,404.5400085,733.4216919,
,,504.019989,2.931981802,504.019989,27.99977112,404.8399963,54.08816147,404.8399963,724.9389038,
,,505.0700073,2.719675541,505.0700073,26.59075356,405,56.00933456,405,719.9352417,
,,505.9700012,2.90668726,505.9700012,25.48184586,405.1499939,57.86981583,405.1499939,717.1646729,
,,507.0100098,2.585881472,507.0100098,24.46041489,405.4500122,60.98176956,405.4500122,711.2374268,
,,508.0499878,2.540918112,508.0499878,23.44049644,405.6000061,62.57814026,405.6000061,707.0350342,
,,508.9500122,2.266183615,508.9500122,22.39821434,405.75,65.0955658,405.75,704.5244751,
,,510,2.319383383,510,21.49056244,406.0599976,72.77565002,406.0599976,688.8892212,
,,511.019989,2.270555973,511.019989,20.64198685,406.2099915,75.93741608,406.2099915,682.1517334,
,,512.0499878,1.995098591,512.0499878,19.73003769,406.3599854,78.27791595,406.3599854,678.2935181,
,,512.9400024,2.107435226,512.9400024,18.5186348,406.6600037,82.04600525,406.6600037,672.3772583,
,,513.9699707,1.911696076,513.9699707,18.04065323,406.8099976,85.05536652,406.8099976,668.045166,
,,515,1.703598976,515,17.13300896,406.9599915,87.9804306,406.9599915,662.1069336,
,,516.0200195,1.707242846,516.0200195,16.46913719,407.269989,97.04554749,407.269989,642.6256714,
,,517.0499878,1.781370282,517.0499878,15.6268034,407.4200134,100.3084183,407.4200134,637.0792236,
,,517.9400024,1.60946238,517.9400024,15.18853474,407.5700073,102.5011368,407.5700073,635.0290527,
,,518.9699707,1.629264355,518.9699707,14.39376068,407.7200012,104.4777222,407.7200012,629.4502563,
,,520,1.607706666,520,14.01917744,408.0299988,110.3499908,408.0299988,620.6593628,
,,521.039978,1.391708493,521.039978,13.1505518,408.1799927,114.788002,408.1799927,614.7804565,
,,521.9400024,1.393074989,521.9400024,12.52164364,408.3299866,118.857048,408.3299866,603.4716187,
,,522.9799805,1.249399424,522.9799805,11.95895195,408.6300049,129.1412506,408.6300049,590.5076904,
,,524.0200195,1.360009313,524.0200195,11.59757423,408.7799988,131.6089172,408.7799988,589.4188232,
,,525.0700073,1.254008651,525.0700073,11.22150135,408.9299927,133.3926697,408.9299927,585.1010742,
,,525.9699707,1.187180996,525.9699707,10.88618088,409.2399902,139.5889435,409.2399902,573.9516602,
,,527.0100098,1.238246322,527.0100098,10.20522213,409.3900146,143.2553864,409.3900146,568.8125,
,,528.0499878,1.044053912,528.0499878,9.890288353,409.5400085,147.8485565,409.5400085,562.300354,
,,528.9500122,1.05531776,528.9500122,9.388151169,409.8399963,158.5314789,409.8399963,545.4664307,
,,530,0.9392512441,530,8.817401886,410,161.7160797,410,539.7493286,
,,531.0200195,0.9502876997,531.0200195,8.52657795,410.1499939,164.7608795,410.1499939,538.4259033,
,,532.0499878,0.8466116786,532.0499878,8.073890686,410.4500122,171.6501312,410.4500122,529.2185669,
,,532.9400024,0.8540254235,532.9400024,7.777340889,410.6000061,175.7523651,410.6000061,524.2142334,
,,533.9699707,0.7690792084,533.9699707,7.341790199,410.75,181.5621033,410.75,514.9985962,
,,535,0.7351263762,535,7.136752129,411.0599976,193.9339447,411.0599976,498.9304199,
,,536.0200195,0.7220724225,536.0200195,6.969143867,411.2099915,196.681778,411.2099915,499.2492676,
,,537.0499878,0.6921982765,537.0499878,6.447444916,411.3599854,199.4817352,411.3599854,493.6467285,
,,537.9400024,0.6566960216,537.9400024,6.380029678,411.6600037,206.9808655,411.6600037,485.6104736,
,,538.9699707,0.6490126848,538.9699707,6.046313286,411.8099976,211.5190887,411.8099976,479.9829407,
,,540,0.5863344073,540,5.856580257,411.9599915,215.8281555,411.9599915,475.9359131,
,,541.0200195,0.5747613907,541.0200195,5.399302483,412.269989,227.8141479,412.269989,465.2415161,
,,542.0499878,0.4774799049,542.0499878,5.344601154,412.4200134,230.3907471,412.4200134,462.4110107,
,,542.9400024,0.5142032504,542.9400024,5.259471416,412.5700073,232.7557373,412.5700073,459.817688,
,,543.9699707,0.557313621,543.9699707,4.965067863,412.7200012,237.4788361,412.7200012,456.5108337,
,,545,0.5891959071,545,4.883641243,413.0299988,244.9973755,413.0299988,446.6312561,
,,546.0200195,0.5595448613,546.0200195,4.613812447,413.1799927,250.5345612,413.1799927,444.1555481,
,,547.0499878,0.5381551981,547.0499878,4.219202042,413.3299866,256.427124,413.3299866,441.0689697,
,,547.9400024,0.5343851447,547.9400024,4.278473854,413.6300049,262.7102661,413.6300049,436.4729614,
,,548.9699707,0.4544028938,548.9699707,3.983964205,413.7799988,265.2115479,413.7799988,433.6886292,
,,550,0.3740237355,550,3.718926191,413.9299927,268.8394165,413.9299927,432.5734253,
,,551.0200195,0.3458184302,551.0200195,3.742954969,414.2399902,275.1370239,414.2399902,427.9642639,
,,552.0499878,0.4065932631,552.0499878,3.661526203,414.3900146,280.3804016,414.3900146,426.7705688,
,,552.9400024,0.3590523601,552.9400024,3.44587326,414.5400085,284.9734192,414.5400085,424.8327332,
,,553.9699707,0.2790794373,553.9699707,3.346637964,414.8399963,292.0613403,414.8399963,422.1272583,
,,555,0.3299513161,555,3.156662464,415,294.0247192,415,423.0862427,
,,556.0200195,0.3790990114,556.0200195,3.100099564,415.1499939,296.541748,415.1499939,422.3892822,
,,557.0499878,0.3252488673,557.0499878,3.00474453,415.4500122,303.7193909,415.4500122,420.9304199,
,,557.9400024,0.318230629,557.9400024,2.860919476,415.6000061,308.2080078,415.6000061,420.481842,
,,558.9699707,0.3253131807,558.9699707,2.556001186,415.75,312.6660767,415.75,421.5365295,
,,560,0.2844069004,560,2.697509527,416.0599976,320.8033447,416.0599976,423.0802307,
,,561.0200195,0.251126945,561.0200195,2.602626324,416.2099915,320.6919861,416.2099915,420.5302734,
,,562.0499878,0.3185458779,562.0499878,2.497295618,416.3599854,324.3968506,416.3599854,421.2375183,
,,562.9400024,0.2789913416,562.9400024,2.260938168,416.6600037,330.1552429,416.6600037,425.4842834,
,,563.9699707,0.2409546822,563.9699707,2.124285936,416.8099976,332.8906555,416.8099976,425.2873535,
,,565,0.2184219658,565,2.206976891,416.9599915,337.1029358,416.9599915,429.0007324,
,,566.0200195,0.2314502299,566.0200195,2.058017731,417.269989,342.6110535,417.269989,431.0613708,
,,567.0499878,0.3005974293,567.0499878,1.990198135,417.4200134,342.9588318,417.4200134,430.548584,
,,567.9400024,0.1627420932,567.9400024,1.925624967,417.5700073,344.4751282,417.5700073,431.5792847,
,,568.9699707,0.1556129605,568.9699707,1.870925307,417.7200012,347.0184326,417.7200012,434.5283203,
,,570,0.2160173804,570,1.866042495,418.0299988,352.8616028,418.0299988,439.3226318,
,,571.0200195,0.1315575242,571.0200195,1.795296788,418.1799927,355.0192566,418.1799927,441.995697,
,,572.0499878,0.1792369485,572.0499878,1.678179264,418.3299866,356.9228821,418.3299866,443.22052,
,,572.9400024,0.1832520664,572.9400024,1.626036763,418.6300049,359.2196655,418.6300049,447.1632996,
,,573.9699707,0.1330928802,573.9699707,1.606671453,418.7799988,360.9408264,418.7799988,450.3375854,
,,575,0.1761769652,575,1.456119895,418.9299927,362.0420227,418.9299927,451.1903381,
,,576.0200195,0.1787949204,576.0200195,1.468657732,419.2399902,365.0286255,419.2399902,457.4223022,
,,577.0499878,0.1658958048,577.0499878,1.521210313,419.3900146,367.1792297,419.3900146,457.9864197,
,,577.9400024,0.2084351182,577.9400024,1.383011222,419.5400085,368.6202087,419.5400085,461.8172302,
,,578.9699707,0.08595609665,578.9699707,1.453237176,419.8399963,369.7955017,419.8399963,464.4598999,
,,580,0.2441296577,580,1.306631446,420,371.8109436,420,463.745697,
,,581.0100098,0.1292515695,581.0100098,1.096433997,420.1499939,371.8030701,420.1499939,467.8783569,
,,582.0200195,0.1304945052,582.0200195,1.238207221,420.4500122,375.0591431,420.4500122,472.8364258,
,,583.039978,0.2259211391,583.039978,1.101721287,420.6000061,376.8685303,420.6000061,473.1132813,
,,584.0499878,0.1079460979,584.0499878,1.120229363,420.75,376.803009,420.75,476.377533,
,,585.0700073,0.09578054398,585.0700073,1.1577425,421.0599976,378.0507813,421.0599976,480.752594,
,,585.9400024,0.2682368159,585.9400024,1.066975236,421.2099915,377.3786926,421.2099915,479.6737366,
,,586.9500122,0.1199858561,586.9500122,0.980404675,421.3599854,378.4631042,421.3599854,480.5977173,
,,587.9699707,0.0694128871,587.9699707,0.9715296626,421.6600037,379.3626404,421.6600037,483.2129211,
,,588.9799805,0.04369046912,588.9799805,1.003178716,421.8099976,379.6376953,421.8099976,488.1934814,
,,590,0.1070225686,590,0.9692527652,421.9599915,379.6249084,421.9599915,488.2098083,
,,591.0100098,0.1252387315,591.0100098,0.8759422898,422.269989,380.6582642,422.269989,489.4326172,
,,592.0200195,0.1340174675,592.0200195,0.8169986606,422.4200134,380.1269531,422.4200134,489.9118652,
,,593.039978,0.1290297657,593.039978,0.9286350012,422.5700073,379.0997925,422.5700073,492.6402588,
,,594.0499878,0.103351824,594.0499878,0.8140212297,422.7200012,379.9588013,422.7200012,491.7906494,
,,595.0700073,0.09158767015,595.0700073,0.6979683638,423.0299988,378.7808228,423.0299988,492.5876465,
,,595.9400024,0.01903758757,595.9400024,0.8347664475,423.1799927,378.6742249,423.1799927,491.4022522,
,,596.9500122,0.0701110363,596.9500122,0.9264799356,423.3299866,377.9295044,423.3299866,492.2915344,
,,597.9699707,0.02540101856,597.9699707,0.7408237457,423.6300049,378.2265625,423.6300049,493.2619019,
,,598.9799805,0.08205516636,598.9799805,0.814661324,423.7799988,377.4566956,423.7799988,492.3991089,
,,600,0.1201626658,600,0.6896639466,423.9299927,376.4797363,423.9299927,494.4029846,
,,,,,,424.2399902,375.967041,424.2399902,494.0082397,
,,,,,,424.3900146,374.4896851,424.3900146,492.678894,
,,,,,,424.5400085,374.5346069,424.5400085,491.95047,
,,,,,,424.8399963,373.3984985,424.8399963,492.1194458,
,,,,,,425,372.1401978,425,492.4641724,
,,,,,,425.1499939,372.5552673,425.1499939,488.4837341,
,,,,,,425.4500122,370.62323,425.4500122,488.4004211,
,,,,,,425.6000061,368.4760437,425.6000061,485.8424072,
,,,,,,425.75,368.0581055,425.75,485.4862671,
,,,,,,426.0599976,366.4878845,426.0599976,483.810791,
,,,,,,426.2099915,364.7799072,426.2099915,481.5983276,
,,,,,,426.3599854,364.5884705,426.3599854,479.1598816,
,,,,,,426.6600037,361.312439,426.6600037,475.1922913,
,,,,,,426.8099976,360.098999,426.8099976,472.0485229,
,,,,,,426.9599915,360.4277954,426.9599915,470.5224609,
,,,,,,427.269989,357.6938477,427.269989,468.4441833,
,,,,,,427.4200134,357.1201782,427.4200134,466.2107544,
,,,,,,427.5700073,357.4719238,427.5700073,462.2457886,
,,,,,,427.7200012,353.3632813,427.7200012,458.8258667,
,,,,,,428.0299988,352.6002502,428.0299988,454.1465149,
,,,,,,428.1799927,351.2262573,428.1799927,449.6747131,
,,,,,,428.3299866,349.95401,428.3299866,448.98703,
,,,,,,428.6300049,347.6195374,428.6300049,445.166687,
,,,,,,428.7799988,348.0175781,428.7799988,442.9581909,
,,,,,,428.9299927,346.2258301,428.9299927,440.2304993,
,,,,,,429.2399902,343.1529846,429.2399902,434.2121887,
,,,,,,429.3900146,342.1869507,429.3900146,430.2743225,
,,,,,,429.5400085,341.6862793,429.5400085,430.3330994,
,,,,,,429.8399963,339.8662109,429.8399963,425.7407837,
,,,,,,430,338.9794006,430,420.8560486,
,,,,,,430.1499939,337.25,430.1499939,416.5126343,
,,,,,,430.4500122,335.5499268,430.4500122,404.6861572,
,,,,,,430.6000061,334.5428467,430.6000061,403.3284912,
,,,,,,430.75,334.2067871,430.75,398.43396,
,,,,,,431.0599976,333.3845825,431.0599976,395.3251953,
,,,,,,431.2099915,331.997345,431.2099915,391.6867371,
,,,,,,431.3599854,331.0464172,431.3599854,387.6903076,
,,,,,,431.6600037,328.8306885,431.6600037,376.8044739,
,,,,,,431.8099976,327.9133301,431.8099976,376.5358582,
,,,,,,431.9599915,327.3114624,431.9599915,372.6960449,
,,,,,,432.269989,327.7287292,432.269989,366.7426758,
,,,,,,432.4200134,326.6651001,432.4200134,362.7345276,
,,,,,,432.5700073,324.8952332,432.5700073,358.6851196,
,,,,,,432.7200012,325.0463867,432.7200012,353.303009,
,,,,,,433.0299988,323.7896118,433.0299988,348.089386,
,,,,,,433.1799927,323.37854,433.1799927,345.8494873,
,,,,,,433.3299866,323.1177063,433.3299866,344.0233154,
,,,,,,433.6300049,322.7160339,433.6300049,338.6513672,
,,,,,,433.7799988,321.3467712,433.7799988,332.8600769,
,,,,,,433.9299927,320.4134216,433.9299927,327.7525024,
,,,,,,434.2399902,320.2079468,434.2399902,323.1558838,
,,,,,,434.3900146,319.216217,434.3900146,320.2226868,
,,,,,,434.5400085,318.1473083,434.5400085,316.6480103,
,,,,,,434.8399963,318.0779724,434.8399963,309.0143127,
,,,,,,435,317.7294617,435,309.4276733,
,,,,,,435.1499939,317.6935425,435.1499939,303.4242554,
,,,,,,435.4500122,317.2242432,435.4500122,294.5330505,
,,,,,,435.6000061,315.2099304,435.6000061,293.922821,
,,,,,,435.75,315.4682007,435.75,291.160614,
,,,,,,436.0599976,315.5851135,436.0599976,285.4720764,
,,,,,,436.2099915,315.1929321,436.2099915,281.3273926,
,,,,,,436.3599854,314.6208496,436.3599854,277.412262,
,,,,,,436.6600037,313.6597595,436.6600037,272.1499939,
,,,,,,436.8099976,313.723938,436.8099976,272.1153259,
,,,,,,436.9599915,312.9087524,436.9599915,269.0991516,
,,,,,,437.269989,311.9376526,437.269989,265.2506409,
,,,,,,437.4200134,312.7993469,437.4200134,260.3358154,
,,,,,,437.5700073,311.2868347,437.5700073,257.6412964,
,,,,,,437.7200012,310.5160217,437.7200012,254.8200226,
