Date,Close/Last,Volume,Open,High,Low,WeekofYear,OpentoClose %,OpentoOpen(1day) %,IS today a friday
06/23/2020,$6.15,86672820,$6.33,$6.38,$6.14,26,-0.02843601896,0.00956937799,0
06/22/2020,$6.28,71724250,$6.27,$6.28,$6.13,26,0.001594896332,-0.05572289157,0
06/19/2020,$6.23,126127800,$6.64,$6.69,$6.23,25,-0.06174698795,0.0607028754,1
06/18/2020,$6.33,61301780,$6.26,$6.45,$6.19,25,0.01118210863,-0.04573170732,0
06/17/2020,$6.33,67831360,$6.56,$6.56,$6.31,25,-0.03506097561,-0.04512372635,0
06/16/2020,$6.55,109535200,$6.87,$6.87,$6.44,25,-0.04657933042,0.1116504854,0
06/15/2020,$6.50,104742600,$6.18,$6.58,$6.11,25,0.05177993528,-0.05792682927,0
06/12/2020,$6.46,88778030,$6.56,$6.63,$6.30,24,-0.01524390244,0.08072487644,1
06/11/2020,$6.13,116184700,$6.07,$6.46,$6.04,24,0.009884678748,-0.1718963165,0
06/10/2020,$6.81,147327100,$7.33,$7.34,$6.77,24,-0.07094133697,0.01523545706,0
06/09/2020,$7.24,115749600,$7.22,$7.44,$7.05,24,0.002770083102,-0.0411686587,0
06/08/2020,$7.53,113169300,$7.53,$7.74,$7.37,24,0,0.04005524862,0
06/05/2020,$7.34,208648200,$7.24,$7.50,$7.02,23,0.0138121547,0.1677419355,1
06/04/2020,$6.57,115798600,$6.20,$6.58,$6.12,23,0.05967741935,0.03505843072,0
06/03/2020,$6.19,98876580,$5.99,$6.27,$5.92,23,0.03338898164,0.005033557047,0
06/02/2020,$5.90,80046000,$5.96,$6,$5.83,23,-0.01006711409,0.04013961606,0
06/01/2020,$5.87,61938820,$5.73,$5.88,$5.67,23,0.02443280977,-0.00347826087,0
05/29/2020,$5.71,93039230,$5.75,$5.80,$5.57,22,-0.006956521739,-0.04958677686,1
05/28/2020,$5.85,77126190,$6.05,$6.07,$5.81,22,-0.03305785124,0.006655574043,0
05/27/2020,$6.03,110413900,$6.01,$6.09,$5.84,22,0.003327787022,0.0152027027,0
05/26/2020,$5.84,86046300,$5.92,$5.99,$5.82,22,-0.01351351351,0.04225352113,0
05/22/2020,$5.65,76656470,$5.68,$5.73,$5.50,21,-0.005281690141,0.04220183486,1
05/21/2020,$5.63,87098220,$5.45,$5.69,$5.44,21,0.03302752294,0.01301115242,0
05/20/2020,$5.49,87685370,$5.38,$5.54,$5.37,21,0.02044609665,0.02087286528,0
05/19/2020,$5.30,94836280,$5.27,$5.45,$5.15,21,0.00569259962,0.029296875,0
05/18/2020,$5.31,136241400,$5.12,$5.33,$5.12,21,0.037109375,0.06666666667,0
05/15/2020,$4.90,80544650,$4.80,$4.94,$4.75,20,0.02083333333,0.03336921421,1
05/14/2020,$4.89,108061100,$4.65,$4.92,$4.52,20,0.05274488698,-0.071,0
05/13/2020,$4.72,100192300,$5,$5.01,$4.66,20,-0.056,-0.02912621359,0
05/12/2020,$4.98,70965190,$5.15,$5.22,$4.97,20,-0.03300970874,-0.005791505792,0
05/11/2020,$5.12,75734000,$5.18,$5.19,$5.05,20,-0.01158301158,0.04435483871,0
05/08/2020,$5.24,101333800,$4.96,$5.25,$4.95,19,0.0564516129,0.01224489796,1
05/07/2020,$4.87,67222940,$4.90,$4.98,$4.85,19,-0.00612244898,-0.0297029703,0
05/06/2020,$4.87,89390420,$5.05,$5.09,$4.82,19,-0.03564356436,0.0120240481,0
05/05/2020,$4.97,96301280,$4.99,$5.09,$4.94,19,-0.004008016032,0.02254098361,0
05/04/2020,$4.86,84214750,$4.88,$4.97,$4.77,19,-0.004098360656,-0.02788844622,0
05/01/2020,$4.92,82660060,$5.02,$5.05,$4.90,18,-0.01992031873,-0.02713178295,1
04/30/2020,$5.09,93437940,$5.16,$5.24,$5.06,18,-0.01356589147,-0.03189493433,0
04/29/2020,$5.26,126393000,$5.33,$5.50,$5.21,18,-0.01313320826,-0.029143898,0
04/28/2020,$5.38,106222800,$5.49,$5.54,$5.22,18,-0.02003642987,0.1181262729,0
04/27/2020,$5.17,91082850,$4.91,$5.19,$4.88,18,0.05295315682,-0.004056795132,0
04/24/2020,$4.87,54352480,$4.93,$4.96,$4.80,17,-0.0121703854,0.02708333333,1
04/23/2020,$4.89,61959760,$4.80,$4.98,$4.77,17,0.01875,-0.01437371663,0
04/22/2020,$4.77,62398610,$4.87,$4.89,$4.75,17,-0.0205338809,-0.00408997955,0
04/21/2020,$4.77,82400210,$4.89,$4.92,$4.72,17,-0.0245398773,-0.02395209581,0
04/20/2020,$4.98,71079440,$5.01,$5.09,$4.91,17,-0.005988023952,-0.03094777563,0
04/17/2020,$5.12,91989320,$5.17,$5.28,$5.03,16,-0.009671179884,0.02173913043,1
04/16/2020,$4.94,58951210,$5.06,$5.07,$4.89,16,-0.02371541502,0,0
04/15/2020,$5.03,74727750,$5.06,$5.14,$4.95,16,-0.005928853755,-0.03984819734,0
04/14/2020,$5.29,74877030,$5.27,$5.44,$5.16,16,0.003795066414,-0.02946593002,0
04/13/2020,$5.16,99320000,$5.43,$5.43,$5.02,16,-0.04972375691,-0.01451905626,0
04/09/2020,$5.37,175833700,$5.51,$5.75,$5.24,15,-0.02540834846,0.133744856,1
04/08/2020,$5.03,117022200,$4.86,$5.09,$4.80,15,0.03497942387,0.00206185567,0
04/07/2020,$4.71,115150400,$4.85,$5.03,$4.63,15,-0.02886597938,0.06828193833,0
04/06/2020,$4.53,102205300,$4.54,$4.67,$4.41,15,-0.002202643172,0.03181818182,0
04/03/2020,$4.24,85659870,$4.40,$4.42,$4.17,14,-0.03636363636,0.002277904328,1
04/02/2020,$4.36,90891690,$4.39,$4.57,$4.25,14,-0.006833712984,-0.05183585313,0
04/01/2020,$4.40,119174500,$4.63,$4.77,$4.36,14,-0.04967602592,-0.07952286282,0
03/31/2020,$4.83,231800800,$5.03,$5.19,$4.75,14,-0.03976143141,-0.0156555773,0
03/30/2020,$5.03,97879670,$5.11,$5.12,$4.93,14,-0.0156555773,0.007889546351,0
03/27/2020,$5.19,106324000,$5.07,$5.30,$4.91,13,0.02366863905,-0.05410447761,1
03/26/2020,$5.25,138298000,$5.36,$5.65,$5.16,13,-0.02052238806,-0.07105719237,0
03/25/2020,$5.39,198999400,$5.77,$5.87,$5.12,13,-0.06585788562,0.2908277405,0
03/24/2020,$4.95,146192100,$4.47,$4.99,$4.26,13,0.1073825503,0.04683840749,0
03/23/2020,$4.01,134925000,$4.27,$4.52,$3.96,13,-0.06088992974,-0.05947136564,0
03/20/2020,$4.33,129378600,$4.54,$4.75,$4.25,12,-0.04625550661,0.04849884527,1
03/19/2020,$4.47,126603800,$4.33,$4.58,$4.10,12,0.03233256351,-0.08842105263,0
